SYMBOL	log2FoldChange	padj	logFC.edgeR	PValue	logFC.limma-voom	adj.P.Val
ABCB6	-0.005026015	0.971867837	0.001372733	0.983190825	0.001754472	0.99254742
ABCB7	0.104153646	0.461018366	0.11016463	0.201138848	0.115408253	0.485627449
ABCB8	0.09474362	0.375158449	0.101293607	0.115331481	0.101320878	0.38760157
ABCB9	0.110504835	0.565865542	0.116517156	0.29158997	0.12430797	0.572689969
ABCC1	-0.129914622	0.741356923	-0.122632576	0.418530163	-0.120552976	0.729225077
ABCC10	0.004042392	0.9785443	0.010428872	0.876682486	0.010465644	0.950915153
ABCC4	0.079178977	0.654531402	0.085756721	0.381159626	0.091783859	0.640870335
ABCC5	-0.094845219	0.234214287	-0.08816936	0.102882422	-0.087587282	0.352948187
ABCC6	-0.113941619	0.770121987	-0.10713888	0.568101738	-0.098943777	0.823070162
ABCD1	-0.141870761	0.072086386	-0.135129618	0.017361921	-0.134112181	0.157159567
ABCD3	0.122080276	0.09994439	0.128500018	0.020108984	0.128708968	0.159313537
ABCD4	0.060382702	0.624666309	0.066663226	0.321206809	0.06250844	0.664411751
ABCE1	0.056035364	0.67969616	0.062501235	0.385924901	0.066373883	0.670644318
ABCF2	-0.077468322	0.463310365	-0.070838505	0.242323355	-0.068435243	0.566422419
ABCF3	-0.062090819	0.540622847	-0.055632301	0.327012289	-0.056685212	0.612168005
ABCG2	-0.073183716	0.496930677	-0.066797659	0.287413349	-0.06431864	0.618918787
ABHD10	0.072785283	0.48692135	0.079237865	0.211031238	0.08124441	0.495558784
ABHD11	0.053992047	0.705583971	0.060085779	0.412115182	0.053546644	0.751143367
ABHD12	-0.130277952	0.094108947	-0.123660909	0.022321046	-0.123286294	0.166892921
ABHD12B	-0.131265843	0.565019729	-0.124942884	0.347044707	-0.129323745	0.628162456
ABHD13	0.082879523	0.570912671	0.089203585	0.294983639	0.089721439	0.58615096
ABHD14A	0.090902373	0.594537821	0.097670078	0.306564851	0.099903613	0.584369921
ABHD14A-ACY1	-0.143131816	0.041657865	-0.136640141	0.009065644	-0.137350572	0.104513581
ABHD14B	0.057709466	0.757739713	0.064580734	0.490224134	0.068973977	0.735400593
ABHD15	0.344946652	0.00153471	0.3514573	8.40E-05	0.338348187	0.024362138
ABHD16A	0.030423146	0.851867576	0.037014872	0.630867608	0.032330606	0.858118807
ABHD17A	-0.01626095	0.916743707	-0.009958176	0.886021671	-0.018305494	0.915848643
ABHD17B	-0.084159656	0.532029507	-0.077720262	0.318314651	-0.078649497	0.612168005
ABHD17C	0.151296064	0.154327867	0.158138506	0.028227022	0.160458007	0.180337074
ABHD18	0.120478693	0.434530531	0.126690849	0.185731233	0.129251915	0.47920031
ABHD2	0.00611817	0.969906067	0.012863629	0.846833591	0.013732966	0.936774278
ABHD4	-0.16860137	0.100687333	-0.161660997	0.019080674	-0.158983434	0.175165436
ABHD5	0.090820303	0.477618791	0.097182642	0.21699561	0.098890596	0.493437894
ABHD6	0.097494009	0.367756425	0.103571922	0.115723535	0.100795937	0.42263458
ABHD8	-0.132532271	0.520146482	-0.1256014	0.285439856	-0.121863351	0.597517917
ABI1	-0.096235814	0.322632976	-0.089448924	0.135371039	-0.089567887	0.416588988
ABI2	0.085778151	0.29976821	0.092272312	0.08908159	0.093171485	0.32142952
ABL1	0.103598763	0.325661917	0.110405265	0.090727481	0.112471652	0.342415893
ABL2	0.005575777	0.978336168	0.012394897	0.891533545	0.013789803	0.95350253
ABLIM2	0.178690563	0.62559269	0.184459445	0.357394348	0.193532559	0.646575929
ABO	0.054447761	0.907137166	0.060960632	0.79992642	0.071261233	0.900823857
ABR	-0.204847226	0.872665062	-0.206531309	0.606531708	-0.240056289	0.813825598
ABRACL	0.177354335	0.22698457	0.184361168	0.060966641	0.189537532	0.294258364
ABT1	-0.0671226	0.399025893	-0.060560908	0.235399876	-0.060019739	0.518071851
ABTB1	0.008584506	0.961225724	0.015384548	0.840909082	0.014677899	0.938845951
AC000089.3	-0.17608216	0.393173773	-0.169774001	0.175621289	-0.165703708	0.483971067
AC000120.7	0.140644935	0.619902669	0.147016638	0.328605702	0.140481468	0.656503819
AC002056.3	-0.159559598	0.65111204	-0.153551057	0.412401243	-0.174482912	0.628633286
AC002116.7	-0.026050647	0.959005219	-0.020031563	0.949450479	-0.039956793	0.940219702
AC002116.8	-0.123923302	0.278845502	-0.117197357	0.116351286	-0.122810818	0.335727574
AC002310.11	0.088714787	0.56907312	0.095447115	0.275777606	0.086881414	0.617386823
AC002310.12	0.206704718	0.457546461	0.213196663	0.189918411	0.204450105	0.517181813
AC002398.9	-0.138034059	0.089143759	-0.131509935	0.022122003	-0.131905423	0.164997578
AC002480.3	-0.387816873	0.008896242	-0.381097743	0.001393191	-0.38883104	0.02854151
AC002985.3	0.005976641	0.961423041	0.01241815	0.816983784	0.013053111	0.924097208
AC003002.4	0.079460764	0.819539528	0.085553735	0.629926075	0.091678955	0.818976325
AC003002.6	0.093811474	0.821482828	0.099648949	0.615521257	0.123245402	0.785518142
AC003006.7	0.019868986	0.959005219	0.026569883	0.881712638	0.033195132	0.937223373
AC004057.1	-0.005039906	0.983836279	0.001778727	0.983339937	-7.12E-05	0.99977706
AC004076.7	0.211905645	0.551668533	0.218130697	0.2701464	0.213605403	0.588645288
AC004156.3	0.041226013	0.897355463	0.047709351	0.752898329	0.065779376	0.847353834
AC004381.6	0.018196297	0.959005219	0.02452825	0.871803854	0.029684286	0.937808671
AC004453.8	-0.510649301	0.716841407	-0.498158865	0.287481267	-0.247226476	0.832569918
AC004538.3	-0.383490793	0.030319551	-0.376853979	0.0055853	-0.39014008	0.067998817
AC004540.4	0.084793728	0.873553162	0.091513751	0.714881393	0.014656872	0.985853288
AC004951.5	0.048839232	0.843754191	0.055142119	0.643135935	0.057827799	0.839772801
AC004967.7	0.085057978	0.729001336	0.091880674	0.459451932	0.069372323	0.814680516
AC004985.12	0.132694581	0.666509211	0.138696733	0.396530932	0.150206027	0.647351833
AC004987.9	-0.115838606	0.485815746	-0.109452146	0.267018105	-0.108742927	0.560757032
AC005077.14	-0.343469862	0.165270329	-0.336114188	0.046488041	-0.349799132	0.229527273
AC005154.6	-0.001903738	0.991252073	0.004604695	0.954405972	-0.001503964	0.99584637
AC005301.9	-0.176449352	0.106284094	-0.169880712	0.021573743	-0.170206595	0.184375699
AC005306.3	0.250511775	0.48678215	0.256460705	0.217635676	0.241243785	0.57691016
AC005329.7	0.233296561	0.392291553	0.239595994	0.156830771	0.228435061	0.472143608
AC005363.9	0.343415579	0.305149939	0.349403329	0.093646486	0.299553503	0.465413128
AC005519.4	0.113266303	0.653520131	0.119955175	0.374269133	0.079759148	0.798368569
AC005538.3	0.252917846	0.214415916	0.25900367	0.066864828	0.26154675	0.330341178
AC005614.5	0.200900025	0.54131978	0.207440667	0.275290134	0.215836736	0.569901729
AC005682.5	0.00913747	0.98378685	0.015050363	0.962171555	0.024321823	0.960313243
AC005785.2	0.081809585	0.848569398	0.087810146	0.660047534	0.095890642	0.834466821
AC005943.2	-0.034307377	0.751937386	-0.027976043	0.614402781	-0.028790663	0.819110687
AC005944.2	0.202465635	0.622891039	0.208552224	0.353805373	0.217962471	0.641213758
AC006011.4	0.064926882	0.678471368	0.071571221	0.394332335	0.071504448	0.656544852
AC006014.7	-0.093284866	0.742227397	-0.086660336	0.566698614	-0.096202973	0.766187964
AC006262.5	0.168967999	0.515116682	0.173791524	0.114563503	0.151142709	0.510284225
AC006262.6	-0.133997963	0.55116171	-0.127326766	0.318273542	-0.124520382	0.604629498
AC006273.5	0.019025482	0.950138947	0.02580424	0.837002901	0.014828916	0.965334339
AC006277.2	-0.116832396	0.800787295	-0.111136503	0.640486232	-0.137003535	0.79278075
AC006486.9	-0.02689382	0.880073237	-0.020357705	0.805817688	-0.025072021	0.900489149
AC006538.4	0.032778062	0.874048533	0.039263482	0.675923561	0.034240762	0.879685148
AC006946.16	-0.137340474	0.681984356	-0.131065869	0.468636487	-0.159084422	0.642819862
AC006978.6	-0.177441856	0.071612566	-0.171125836	0.02008535	-0.170620419	0.159144437
AC007036.5	-0.00254725	0.994168288	0.00311878	0.980419292	-0.002887553	0.995934286
AC007040.11	0.089261388	0.520714412	0.096198562	0.227850348	0.094789571	0.533842673
AC007191.4	-0.13576594	0.605410399	-0.128875708	0.388457868	-0.125612851	0.676305312
AC007192.4	0.00929563	0.939586553	0.015883401	0.756658169	0.015741587	0.898597965
AC007246.3	0.225046805	0.4948566	0.230552102	0.235531599	0.230979468	0.573503255
AC007255.8	0.189051993	0.493312671	0.195477067	0.22978798	0.217207208	0.491890937
AC007283.5	-0.072862939	0.841804514	-0.066142344	0.722090964	-0.081387357	0.83467373
AC007318.5	-0.047727488	0.768117964	-0.041205067	0.632166666	-0.04332897	0.81296356
AC007383.3	0.407622509	0.09994439	0.414265213	0.013960194	0.421563326	0.147444606
AC007386.2	0.0128518	0.960274797	0.019411743	0.848829379	0.005842898	0.987012013
AC007566.10	-0.06038501	0.893242891	-0.054165679	0.775423431	-0.057534711	0.909013801
AC007969.5	-0.054651619	0.821568923	-0.047935603	0.695672262	-0.052540291	0.850087193
AC008271.1	-0.094754089	0.724660253	-0.087583827	0.546292148	-0.101266589	0.734413896
AC008753.3	0.636825936	0.027974813	0.64232661	0.002154802	0.651024816	0.091266048
AC009005.2	0.332360091	0.03517578	0.339006281	0.003491515	0.325310704	0.104813182
AC009052.12	-0.082369604	0.600527939	-0.075536728	0.396702565	-0.082269481	0.627071697
AC009120.6	0.119583812	0.476131159	0.126280848	0.203339806	0.122647815	0.499799152
AC009133.12	0.07542385	0.902653738	0.080213028	0.69431712	0.073465031	0.891697742
AC009133.15	0.071285236	0.844361664	0.078044514	0.668561792	0.095749132	0.823483171
AC009133.23	0.090614105	0.428611389	0.096851787	0.152610791	0.091894394	0.474099381
AC009133.24	-0.011531256	0.939586553	-0.004761336	0.94073701	-0.004218826	0.984348715
AC009245.3	0.061176803	0.757664817	0.067745779	0.507363295	0.073149523	0.75926045
AC009299.3	0.163137592	0.542437234	0.169350539	0.24016816	0.162398769	0.583890744
AC009299.5	0.107997401	0.77438883	0.114270474	0.545054682	0.103462622	0.810313111
AC009403.2	-0.033427398	0.936695503	-0.026969065	0.873161889	-0.02107697	0.962288194
AC009404.2	-0.122289838	0.451518828	-0.115709843	0.24075887	-0.11181488	0.534582521
AC009487.6	-0.040193459	0.876655174	-0.033882037	0.779480177	-0.026814812	0.933953311
AC009505.2	-0.130529937	0.750212798	-0.12449764	0.573199307	-0.161787107	0.728759268
AC009948.5	0.073110028	0.658422229	0.08001787	0.364068802	0.070219284	0.71269992
AC010468.1	-0.00876779	0.969906067	-0.00190688	1	-0.011341227	0.966664642
AC010547.9	0.008672139	0.969973557	0.014678969	0.896849087	0.018006887	0.946965219
AC010642.1	0.003355765	0.98378685	0.009838905	0.90141011	0.010329869	0.960081075
AC010646.3	-0.085834704	0.459393233	-0.07954158	0.256074633	-0.083918183	0.535504921
AC010761.8	0.298968075	0.732524921	0.308539783	0.310953744	0.323833497	0.633228811
AC011330.5	0.488287517	0.787566982	0.498094526	0.408242642	0.567205305	0.621167678
AC011380.9	-0.059775794	0.802734131	-0.052632041	0.668273308	-0.056345083	0.840487433
AC011530.4	0.137811435	0.456220193	0.144332734	0.195287465	0.14342539	0.488925121
AC012358.8	0.075062373	0.861597955	0.082144713	0.688212704	0.1013779	0.827629824
AC012363.4	-0.053538667	0.903853513	-0.046803486	0.814871146	-0.044916193	0.931130779
AC013461.1	-0.066451727	0.713444088	-0.059657304	0.521274921	-0.055597003	0.7951516
AC015688.3	-0.075908019	0.507425351	-0.069687946	0.283206254	-0.072043753	0.575794953
AC015691.13	-0.063805631	0.785516295	-0.057615379	0.637158272	-0.06910632	0.796019629
AC016292.3	0.076891894	0.822815723	0.083039944	0.60127784	0.084231263	0.808586296
AC016734.2	-0.008350176	0.95070465	-0.00195747	0.973867764	-0.000817622	0.996035898
AC016735.2	-0.47080657	0.031286845	-0.464354408	0.003462554	-0.477871085	0.049008469
AC016739.2	0.021337743	0.924571292	0.027929881	0.793369393	0.030581103	0.903295278
AC016747.3	0.140035865	0.212441804	0.146653173	0.055603432	0.145499292	0.240726411
AC018738.2	0.08511523	0.742227397	0.091838884	0.495142304	0.087453039	0.769996862
AC018890.6	-0.138860336	0.486240224	-0.132157454	0.265205253	-0.136702081	0.517241566
AC019097.7	-0.157448162	0.521046304	-0.151029242	0.292627617	-0.154744747	0.570349204
AC023347.1	-0.078911751	0.84287313	-0.073192371	0.690276556	-0.072643709	0.864459087
AC024560.3	0.181818268	0.50092323	0.188191575	0.226055275	0.169499282	0.598456893
AC024592.12	-0.00286997	0.984539666	0.003669865	0.954848833	0.001580954	0.99398308
AC024592.9	0.158156072	0.700781927	0.164159114	0.421424417	0.098634437	0.845893241
AC025263.3	0.314571838	0.301791812	0.321137569	0.080628982	0.304528336	0.400648114
AC025335.1	0.031587463	0.91885348	0.038558462	0.77936379	0.043711982	0.894828583
AC026271.5	0.080797793	0.629766836	0.087335572	0.347273082	0.08918692	0.606693446
AC027612.1	-0.039988014	0.89556239	-0.033676445	0.804236558	-0.038412612	0.907767614
AC027612.6	0.070212391	0.827696358	0.076808424	0.620794263	0.083672876	0.807285557
AC037459.4	-0.127015446	0.25378138	-0.120731796	0.092577435	-0.123149333	0.334461664
AC062029.1	0.269434116	0.452304447	0.275061141	0.183974866	0.298179168	0.484680881
AC068134.10	-0.163939446	0.656363025	-0.155700295	0.385372959	-0.139423839	0.724548844
AC068282.3	0.235736648	0.33443321	0.242090799	0.098196603	0.234118846	0.382309301
AC068533.7	-0.076440919	0.610589764	-0.069894448	0.408159128	-0.071886736	0.664622381
AC069368.3	0.017648325	0.95257424	0.024535472	0.855088958	0.026784133	0.934625798
AC073046.25	-0.402924467	0.167628753	-0.395266989	0.051979002	-0.370443792	0.266457708
AC074117.10	-0.011320496	0.963307879	-0.005114704	0.971324761	-0.008452587	0.979114238
AC074212.5	-0.046368101	0.888837555	-0.039805203	0.813882824	-0.056380475	0.881466561
AC074286.1	0.19041453	0.100558063	0.197126244	0.016757588	0.198155655	0.144766318
AC079135.1	-0.072649516	0.874344247	-0.066025512	0.746964583	-0.06737746	0.89921465
AC079250.1	0.190456205	0.147468038	0.196923159	0.029810866	0.19505383	0.231298588
AC083873.4	-0.053647639	0.826712972	-0.047164307	0.701496371	-0.049774869	0.852693691
AC083884.8	-0.278187071	0.446540569	-0.271505842	0.198850472	-0.280879982	0.47498024
AC083899.3	-0.062511298	0.705378441	-0.056210857	0.522465019	-0.051540186	0.781223057
AC090498.1	0.279058463	0.680176442	0.283674346	0.251241355	0.196670193	0.742023614
AC090505.5	-0.318929312	0.15229012	-0.312858575	0.039565072	-0.307482489	0.201804318
AC090505.6	-0.35258612	0.007454367	-0.346429941	0.001013732	-0.341313698	0.028271918
AC091133.1	0.103609999	0.783311371	0.109995164	0.522428037	0.088558645	0.830973853
AC091729.9	0.160163594	0.459273526	0.166726173	0.202579438	0.164928429	0.538084053
AC092620.2	0.009558774	0.973313176	0.015541386	0.924034318	0.020036164	0.950681955
AC092835.2	-0.093683151	0.666659612	-0.087028889	0.474327147	-0.094863712	0.715046063
AC093323.3	-0.014589233	0.944692708	-0.008083023	0.936773967	-0.009962466	0.967308866
AC093375.1	-0.011811836	0.974653054	-0.005840264	0.977090034	-0.005858922	0.990586936
AC093616.4	0.026181707	0.937109358	0.032881141	0.818367195	0.01813863	0.962288194
AC093642.3	-0.391959391	0.236916772	-0.385688576	0.080967876	-0.37714824	0.320225739
AC093673.5	-0.109041302	0.766225992	-0.102365003	0.59643014	-0.158253979	0.689499253
AC093818.1	-0.129716054	0.721869647	-0.123108836	0.517652066	-0.132521492	0.754196716
AC093838.4	-0.083342749	0.430583188	-0.07695593	0.245014027	-0.078977697	0.517181813
AC099668.5	-0.073440994	0.80696064	-0.06656571	0.674207315	-0.084345856	0.799717016
AC104134.2	0.243806766	0.382612977	0.249881424	0.143394788	0.218962072	0.517181813
AC104135.2	-0.122605713	0.740006358	-0.116694998	0.537806003	-0.110818069	0.784704354
AC104532.2	0.199829358	0.596500985	0.206856803	0.304801115	0.216443016	0.601603707
AC104534.3	-0.07278225	0.429102323	-0.066243149	0.227795011	-0.066060537	0.522023941
AC104667.3	0.143521773	0.716841407	0.149077324	0.436387376	0.137316903	0.750593852
AC105760.2	0.218699975	0.474089469	0.225528377	0.201929435	0.178553722	0.644365826
AC106706.1	-0.359418041	0.00544941	-0.352982849	0.000645194	-0.351946176	0.016919801
AC106786.1	-0.087475112	0.827326761	-0.08005213	0.687076043	-0.087019561	0.84891609
AC106875.1	-0.078718117	0.638975296	-0.071915343	0.426889148	-0.068804384	0.721103652
AC107983.4	0.07209524	0.855963529	0.079149337	0.669267354	0.081855537	0.844208556
AC108142.1	0.187377792	0.228376361	0.19389799	0.066203359	0.190843401	0.334343708
AC108488.4	0.160001333	0.680093672	0.166679163	0.396235686	0.163340237	0.707207986
AC108938.5	-0.171860145	0.485235073	-0.165418647	0.254892244	-0.15648339	0.57154337
AC109826.1	-0.338288676	0.028298139	-0.331800309	0.005632253	-0.337085733	0.073471807
AC111200.7	0.218585088	0.515116682	0.224854244	0.232907185	0.229140029	0.539592009
AC113189.5	-0.178938717	0.236921469	-0.172381384	0.085790606	-0.171896255	0.299422271
AC113404.1	-0.264095897	0.459273526	-0.25718759	0.193228414	-0.245231289	0.533688171
AC114271.2	0.270745105	0.121052683	0.277621616	0.024028166	0.291484892	0.193499374
AC124944.5	0.135190539	0.472952739	0.141706361	0.206212358	0.140595135	0.487572683
AC125232.1	-0.063105848	0.75686605	-0.057039139	0.580712229	-0.048790355	0.840487433
AC135048.13	-0.172343608	0.213858799	-0.165662275	0.079366389	-0.172685691	0.271157585
AC138035.2	0.010471088	0.97137808	0.017071393	0.898434503	0.021779498	0.949262464
AC138969.4	-0.02645989	0.852485309	-0.020013474	0.775217054	-0.021705723	0.897801834
AC139100.4	0.165859232	0.682216065	0.172539024	0.388928359	0.119645537	0.810300764
AC141586.5	-0.234338602	0.522949791	-0.227954064	0.265275615	-0.206111541	0.606535136
AC144530.1	0.238175456	0.362504176	0.244969326	0.12540178	0.244386087	0.406172888
AC144652.1	0.110358913	0.624666309	0.116780112	0.347116623	0.107833822	0.680450522
ACAA1	-0.070705803	0.472142641	-0.064367443	0.283970905	-0.06434083	0.590054161
ACAA2	-0.040779437	0.751326322	-0.03449578	0.599981456	-0.035796262	0.813056655
ACACA	-0.032671882	0.971537841	-0.022944031	0.928421566	0.144404243	0.828655939
ACACB	-0.091775358	0.459064947	-0.084713259	0.234022072	-0.079153577	0.573493549
ACAD10	0.013076126	0.910118977	0.01969037	0.715624429	0.019735928	0.876993316
ACAD11	0.011073935	0.950702323	0.017674393	0.815520027	0.011467629	0.955048365
ACAD8	0.006214754	0.966653718	0.0125191	0.846552535	0.011748372	0.945469401
ACAD9	-0.011331075	0.930919792	-0.004988912	0.937411368	-0.006334457	0.967308866
ACADM	0.343718962	0.00083528	0.349851658	5.44E-05	0.351208009	0.020332663
ACADS	0.038158618	0.799040011	0.044768251	0.545776927	0.040359041	0.806646066
ACADSB	0.038668678	0.799040011	0.045467543	0.552314452	0.04237353	0.804332292
ACADVL	-0.104462528	0.16028468	-0.098221085	0.061373606	-0.100662442	0.250067852
ACAN	-0.099009882	0.325427398	-0.092160401	0.128997103	-0.091517848	0.412807349
ACAP2	0.065461568	0.521065076	0.071930131	0.231813547	0.072287274	0.530407368
ACAP3	0.229165233	0.026592964	0.235675044	0.003444083	0.231418467	0.083466572
ACAT1	0.083296298	0.676091505	0.089735529	0.414029599	0.098126372	0.687000344
ACAT2	-0.070231078	0.698580357	-0.064162578	0.517477325	-0.064282704	0.770536963
ACBD3	-0.079342526	0.384835903	-0.072875309	0.206211319	-0.0734206	0.50437993
ACBD4	0.152951303	0.424788592	0.159570409	0.161766168	0.139046746	0.543279861
ACBD5	0.015160312	0.910118977	0.021647698	0.731275359	0.022438282	0.87886972
ACBD6	0.017313584	0.877866554	0.023650992	0.654752318	0.023386947	0.847165606
ACBD7	0.312399976	0.051882509	0.318602736	0.007702896	0.328262029	0.120646622
ACD	-0.002676289	0.984754189	0.004095403	0.948090893	0.004045737	0.983939601
ACER2	-0.05342866	0.762598081	-0.046790812	0.597372028	-0.047268203	0.826455377
ACER3	-0.150169215	0.218377854	-0.143701905	0.088886272	-0.144564425	0.310827416
ACHE	-0.024072965	0.874403115	-0.017337145	0.812363896	-0.018022854	0.916700408
ACIN1	-0.144402507	0.026002432	-0.138091411	0.007296512	-0.140491539	0.081049189
ACKR2	-0.250752757	0.000234079	-0.244195768	1.67E-05	-0.24357787	0.008482522
ACKR3	-0.425651428	3.42E-08	-0.4190369	1.31E-09	-0.423882107	0.000292208
ACLY	-0.09102035	0.236753178	-0.084455193	0.10533202	-0.084620295	0.335727574
ACO1	0.244808392	0.001625244	0.251373365	9.58E-05	0.254545224	0.013953855
ACO2	-0.054288555	0.528812896	-0.047745151	0.346670928	-0.047697026	0.631051997
ACOT11	0.532217823	0.078193991	0.538770027	0.009462412	0.549118528	0.158132825
ACOT13	0.100046248	0.456220193	0.10637807	0.193802608	0.1073586	0.464894328
ACOT2	-0.301494497	0.367985212	-0.295279233	0.129353495	-0.299511913	0.402469075
ACOT7	0.123836893	0.300827474	0.130145603	0.100999575	0.131416753	0.33366357
ACOT8	0.044428239	0.776181884	0.051024025	0.518318184	0.04911915	0.769708897
ACOT9	0.172182056	0.18594551	0.178451481	0.047952812	0.181140525	0.21541614
ACOX1	-0.049354031	0.538864652	-0.042864757	0.388415329	-0.042870955	0.663865348
ACOX2	-0.061785609	0.703548124	-0.055221288	0.512044441	-0.049042498	0.799161207
ACOX3	-0.131247925	0.314614614	-0.12477384	0.137548355	-0.116526023	0.44414859
ACP1	-0.006638708	0.959005219	-0.000218175	0.99649874	0.000775797	0.996037217
ACP2	0.218795862	0.033021587	0.225117827	0.004241498	0.226853997	0.086635668
ACP5	-0.065441359	0.476921991	-0.058763108	0.27837135	-0.058894261	0.57154337
ACP6	-0.039989585	0.728398546	-0.033361996	0.577103244	-0.034210062	0.799161207
ACSF2	-0.213438861	0.000931243	-0.206825797	9.39E-05	-0.207078601	0.01359753
ACSF3	-0.062293555	0.5723814	-0.055898186	0.387496997	-0.055603245	0.656748834
ACSL1	-0.047456713	0.717749146	-0.040693378	0.559273682	-0.039407253	0.793621378
ACSL3	-0.072451239	0.560557334	-0.066150689	0.353508528	-0.065908446	0.669592859
ACSL4	-0.128221606	0.325661917	-0.12209678	0.149548029	-0.119481341	0.457027276
ACSL5	-0.242568152	0.420747539	-0.236071454	0.198385128	-0.261518175	0.405148082
ACSL6	-0.16613596	0.625336475	-0.159862712	0.407550525	-0.19056033	0.631954266
ACSM3	0.129523766	0.624514423	0.136243847	0.349970707	0.154085937	0.594578559
ACSS2	-0.004493941	0.973065448	0.002129638	0.969833338	0.001674645	0.992123697
ACTA1	-0.508675929	0.012522648	-0.502400415	0.001651369	-0.494216103	0.054892836
ACTB	-0.131400234	0.200481303	-0.124864942	0.064077065	-0.124902686	0.277390065
ACTG1	-0.05635137	0.623349977	-0.049622275	0.416138454	-0.049201057	0.688170064
ACTL6A	0.017231217	0.908542171	0.023999393	0.723827677	0.02584657	0.877755805
ACTN1	-0.281385275	2.59E-05	-0.27509538	1.77E-06	-0.274098048	0.003065615
ACTN2	0.334038349	0.005939028	0.34017725	0.00050254	0.342332678	0.033944378
ACTN4	-0.125495665	0.036728448	-0.118926468	0.013041709	-0.119039931	0.097669875
ACTR10	0.082371567	0.427996038	0.088769433	0.166997383	0.090300023	0.456382808
ACTR1A	0.088939799	0.330079707	0.095509483	0.10088016	0.096187957	0.354398792
ACTR1B	-0.164400598	0.014711407	-0.158012402	0.002835004	-0.158668953	0.059810255
ACTR2	0.064163143	0.425068783	0.070533434	0.175269179	0.070973484	0.446996506
ACTR3	0.06250823	0.572634599	0.069099685	0.270481071	0.06847023	0.587590601
ACTR3B	-0.025401658	0.884507758	-0.018771766	0.82136608	-0.020983524	0.915223169
ACTR5	0.212926284	0.034518707	0.219587271	0.003984859	0.220842908	0.068026558
ACTR6	0.014069446	0.917923339	0.02026382	0.740876054	0.021671392	0.887170293
ACTR8	-0.017790869	0.892906931	-0.011385046	0.854754372	-0.010523121	0.947405584
ACVR1	0.172949673	0.260887073	0.179254862	0.078627497	0.183101977	0.29922509
ACVR1B	-0.018748919	0.924289557	-0.012100392	0.907948263	-0.014400499	0.949262464
ACVR2A	0.2686929	0.135849207	0.274671271	0.033826014	0.276939319	0.246288543
ACVR2B	-0.113006827	0.225192999	-0.10637899	0.081034381	-0.106081571	0.327601661
ACVR2B-AS1	-0.091925566	0.54131978	-0.085382624	0.330984031	-0.088828979	0.583890744
ACY1	-0.154331203	0.03030751	-0.147871249	0.005766859	-0.148517809	0.085991807
ACYP1	0.199905203	0.213858799	0.206419057	0.054461922	0.200487369	0.277588369
ACYP2	0.192305715	0.322865621	0.198939767	0.097680013	0.187472253	0.411705519
