SYMBOL	log2FoldChange	padj	logFC.edgeR	PValue	logFC.limma-voom	adj.P.Val
ABHD2	0.081930228	0.584519803	0.096726913	0.287518078	0.097587691	0.487697045
ABHD4	-0.18225575	0.183717589	-0.167345346	0.090239103	-0.165707405	0.227330899
ABHD5	0.222879307	0.097779255	0.237324965	0.027143558	0.236974463	0.095075099
ABHD6	0.031731254	0.852191614	0.04600283	0.613339047	0.046529386	0.774688789
ABHD8	0.062861936	0.830003378	0.077752177	0.624596569	0.083909429	0.742636773
ABI1	-0.178105719	0.115096025	-0.163340038	0.057502554	-0.162769966	0.169461621
ABI2	0.135617436	0.17029094	0.150162971	0.046323772	0.150870134	0.144522393
ABL1	0.065553798	0.665343489	0.080330564	0.374497683	0.081809873	0.574753292
ABL2	-0.053878974	0.8026449	-0.039151781	0.760618761	-0.038256848	0.867626778
ABLIM2	0.485213852	0.183408223	0.498763362	0.057896573	0.506404333	0.158950036
ABO	0.490531043	0.206149356	0.504851779	0.073417516	0.526106351	0.179071478
ABR	-1.08420195	0.361009904	-1.073261289	0.084482419	-0.880767359	0.406992424
ABRACL	0.260526992	0.14751897	0.275429602	0.040782603	0.278179142	0.151854071
ABT1	-0.042908389	0.701889219	-0.028323955	0.700326594	-0.027678216	0.814944003
ABTB1	0.299603894	0.015070958	0.314213945	0.002436865	0.315860898	0.02106702
ABTB2	0.510562888	0.395560204	0.523021775	0.154084706	0.523225316	0.372218567
AC000089.3	-0.004295536	0.991231715	0.01014229	0.941350944	0.009332808	0.976898346
AC000120.7	0.105121403	0.775207028	0.119427278	0.564429346	0.121732827	0.722235898
AC000123.2	-0.30478496	0.600308566	-0.288444039	0.429724617	-0.262493523	0.638525356
AC000123.3	-0.463277	0.602480186	-0.447865067	0.427969559	-0.360631013	0.68813477
AC002056.3	0.123916053	0.779666635	0.138439859	0.561906834	0.141291676	0.707418167
AC002116.7	-0.213645516	0.658991609	-0.198932423	0.516864802	-0.190427843	0.684065638
AC002116.8	-0.002078411	0.99256781	0.012633956	0.89724287	0.013556219	0.942704173
AC002117.1	0.271309739	0.742235228	0.285043351	0.504333972	0.287331506	0.722235898
AC002310.11	0.083940283	0.669092198	0.098367681	0.422142877	0.097708889	0.595220828
AC002310.12	0.074768285	0.856613009	0.089176435	0.676424823	0.088386601	0.822843241
AC002398.11	-0.736485913	0.368578852	-0.718725213	0.191894856	-0.71004715	0.394072181
AC002398.9	-0.089697982	0.459036821	-0.075130014	0.359669425	-0.075188451	0.535737853
AC002401.1	-0.167250347	0.795779815	-0.151691208	0.703446031	-0.134641123	0.847692468
AC002456.2	-0.018604359	0.986301886	-0.005033259	1	0.001189911	0.999100973
AC002467.7	-0.0292595	0.977539297	-0.016639886	1	0.062290008	0.950510591
AC002480.3	-0.632839482	0.000972004	-0.618345839	0.000391485	-0.617119578	0.007451936
AC002480.4	-0.553428277	0.301227278	-0.539129041	0.141004599	-0.531184841	0.271240751
AC002985.3	-0.013679552	0.922583642	0.000836376	0.985589356	0.001773239	0.990055391
AC003002.4	0.548215561	0.055089701	0.562227146	0.010371976	0.562522283	0.05539133
AC003002.6	0.256796515	0.546575633	0.270422947	0.3010219	0.302387189	0.435032897
AC003005.4	0.240318594	0.678961966	0.254624599	0.409794616	0.262089776	0.618815904
AC003006.7	0.211934486	0.533546642	0.226538251	0.297451773	0.230946545	0.467797774
AC003088.1	0.452692479	0.586828966	0.466596816	0.236837016	0.476993824	0.42512271
AC004057.1	-0.049209126	0.865369167	-0.034496716	0.779943787	-0.034317019	0.881232757
AC004076.5	0.299434692	0.755896834	0.312712265	0.50145133	0.374777969	0.616379396
AC004076.7	0.445240244	0.232866744	0.458880486	0.070432781	0.456782349	0.197109405
AC004076.9	-0.165753822	0.796634469	-0.151111974	0.683316033	-0.145889426	0.817602252
AC004156.3	-0.217617466	0.477034266	-0.203070332	0.336871812	-0.185076624	0.567654785
AC004160.4	-0.744842497	0.161963428	-0.729824356	0.076456054	-0.679352864	0.24618351
AC004381.6	0.086287451	0.811956952	0.100472633	0.601509348	0.106096715	0.744521344
AC004453.8	-0.852478382	0.600411279	-0.83076525	0.266124122	-0.440316685	0.714102641
AC004538.3	-0.14098341	0.632875284	-0.126914296	0.524200178	-0.124479902	0.650775437
AC004540.4	-0.984383156	0.026139531	-0.968695578	0.012065892	-0.96595829	0.116296973
AC004549.6	-0.454682223	0.600308566	-0.440644055	0.442164121	-0.35645011	0.714550693
AC004837.5	0.778485346	0.433552762	0.783773576	0.163319713	0.933182279	0.358237573
AC004951.5	-0.117182488	0.662299119	-0.102962385	0.555550301	-0.091116708	0.749753318
AC004967.7	0.183094684	0.482838234	0.197448314	0.255411619	0.197542865	0.435738582
AC004985.12	0.153022028	0.676393002	0.166928461	0.447877484	0.17490755	0.602924389
AC004987.9	-0.259039044	0.153183941	-0.244585518	0.084776288	-0.244793215	0.194583313
AC005037.3	-0.071374887	0.942094119	-0.058808518	1	-0.030992535	0.971176092
AC005062.2	-0.617207306	0.276387306	-0.601244569	0.130546282	-0.58833756	0.355528474
AC005076.5	-0.326416884	0.651775454	-0.311367652	0.512808865	-0.311118588	0.676748032
AC005077.14	-0.151660109	0.693391564	-0.136545835	0.581891336	-0.127221553	0.734093833
AC005104.3	-0.80713117	0.547959633	-0.79561406	0.295511554	-0.600400433	0.648571372
AC005154.6	-0.004799055	0.985070513	0.009622293	0.930505633	0.011939584	0.958582862
AC005253.2	-1.476225472	0.1575848	-1.448268304	0.074052323	-1.268268389	0.43797704
AC005253.4	-1.571136339	0.029739151	-1.550999386	0.009468264	-1.457737588	0.14990268
AC005255.3	0.182991189	0.720523379	0.198913181	0.491336103	0.237847886	0.577197945
AC005262.3	-0.164647535	0.867133199	-0.147982684	0.850478989	-0.077375452	0.937539741
AC005301.9	-0.46095452	0.000210878	-0.44618496	3.05E-05	-0.442990863	0.005447374
AC005306.3	0.407822017	0.31507679	0.421621122	0.132585826	0.421004133	0.298067161
AC005329.7	0.113332353	0.7763764	0.127426744	0.583749802	0.129344224	0.735890587
AC005363.9	0.180568335	0.715239552	0.194650644	0.48779234	0.202966313	0.675233857
AC005519.4	0.065344636	0.847954389	0.079511737	0.668856593	0.079242899	0.803791366
AC005523.2	-2.010312172	0.006546759	-1.988021175	0.003029691	-1.961319987	0.158016941
AC005538.3	0.526283701	0.022087993	0.54030404	0.00445316	0.545109378	0.043000737
AC005540.3	-2.082806883	0.001630829	-2.058730952	5.18E-05	-1.992500643	0.027925292
AC005562.1	1.100591055	0.170225961	1.108244679	0.032877319	1.135184718	0.144692628
AC005606.14	-0.077014138	0.93456176	-0.060487093	0.991975067	0.008280116	0.992830935
AC005614.5	0.066321564	0.890872621	0.080940284	0.762701373	0.097975722	0.834343754
AC005682.5	0.125780964	0.785185561	0.1390633	0.580050118	0.146013672	0.71010006
AC005754.8	-0.456286143	0.473277228	-0.441241546	0.262174504	-0.440298347	0.467499928
AC005775.2	-0.235326267	0.681238573	-0.220257184	0.555704609	-0.210131764	0.711544067
AC005785.2	-0.778636406	0.038551632	-0.763850975	0.009235651	-0.757173988	0.089781365
AC005786.7	-0.115641656	0.861068653	-0.10258602	0.819127472	-0.07544147	0.914419658
AC005796.2	-0.096595048	0.876381634	-0.082872129	0.860883163	-0.077905601	0.898011275
AC005943.2	0.011263209	0.94010411	0.02573097	0.734361411	0.026307917	0.847235856
AC005944.2	-0.888373057	0.02969329	-0.873169608	0.013328906	-0.860506868	0.112238901
AC006011.4	0.213768438	0.153631673	0.228205544	0.044690493	0.229377232	0.10902512
AC006014.7	-0.313342223	0.261542454	-0.298766524	0.171589049	-0.299380138	0.313719238
AC006128.2	-0.57080881	0.20231101	-0.55548744	0.065448597	-0.552457825	0.21797401
AC006262.5	0.19079403	0.56124394	0.204774099	0.178708413	0.205802183	0.397084557
AC006262.6	-0.551747841	0.012668788	-0.536885305	0.004377827	-0.535225342	0.033436982
AC006273.4	0.362837895	0.65061072	0.376299854	0.393070071	0.438614314	0.51674599
AC006273.5	0.127080342	0.657482409	0.141540061	0.418026468	0.140977245	0.587173352
AC006277.2	-0.103124129	0.856030743	-0.089180531	0.827244007	-0.087434501	0.878518027
AC006460.2	-0.408727036	0.616997154	-0.391803422	0.446445307	-0.329016354	0.676734761
AC006486.9	-0.099442286	0.578022355	-0.084812628	0.46156347	-0.084352433	0.634643003
AC006509.4	0.047555234	0.968493214	0.059316859	0.871315982	0.095585443	0.921122118
AC006538.1	0.624933089	0.164390704	0.638225963	0.029420546	0.681260393	0.098081396
AC006538.4	-0.098069057	0.646407768	-0.083751523	0.550466407	-0.082003178	0.696586021
AC006946.16	-0.264471338	0.47754805	-0.249897909	0.311902562	-0.249992989	0.483233464
AC006978.6	-0.267063518	0.030866464	-0.252740767	0.016699909	-0.252041474	0.072537782
AC007036.5	0.148380273	0.740915456	0.162139765	0.505261505	0.168967297	0.669084713
AC007040.11	-0.113820941	0.504940017	-0.098857196	0.389959737	-0.094232111	0.589089109
AC007040.8	-1.080722049	0.053235537	-1.063323546	0.001789126	-1.057040181	0.03822749
AC007128.1	0.698669968	0.087268022	0.71208479	0.016205989	0.708364661	0.074337813
AC007182.6	-1.494926661	0.014561916	-1.476876191	0.004678877	-1.45707232	0.124453951
AC007191.4	-0.414141917	0.120559552	-0.399196651	0.067796641	-0.395427397	0.17677249
AC007192.4	0.019650628	0.884906773	0.034381414	0.629034366	0.03470638	0.768483537
AC007228.11	0.413482706	0.608550984	0.424736443	0.334139476	0.457793047	0.527303289
AC007238.1	-0.081734766	0.931032214	-0.065380149	0.898903777	-0.057143899	0.944597596
AC007246.3	0.209797811	0.623791541	0.223312975	0.399556552	0.2443445	0.575086766
AC007255.8	0.026027701	0.953924036	0.040574926	0.860137583	0.060563432	0.886025303
AC007283.5	0.20547852	0.584678536	0.219911913	0.341984779	0.225659616	0.490468324
AC007292.6	-0.736914232	0.211340811	-0.719310657	0.090420756	-0.682804761	0.345110212
AC007318.5	-0.099627411	0.574172038	-0.085269747	0.483803406	-0.085122694	0.62747328
AC007383.3	0.574034921	0.055720001	0.588465763	0.008318028	0.59443894	0.052275657
AC007386.2	0.056621879	0.833880482	0.070946074	0.636078954	0.070028981	0.780535833
AC007566.10	-0.002289682	0.996718642	0.01173549	0.957681914	0.012121828	0.981097408
AC007773.2	0.277050106	0.720296496	0.288834426	0.462754218	0.327083627	0.644921442
AC007952.5	-0.101441062	0.920396228	-0.085645139	0.969805276	-0.083394601	0.92681255
AC007952.6	-1.474200036	0.515102148	-1.43997685	0.264184648	-0.906106578	0.709825888
AC007969.5	-0.144574166	0.573671858	-0.129998445	0.452071964	-0.13023678	0.616841025
AC008079.10	-0.872531908	0.254946624	-0.857724563	0.055735854	-0.821519706	0.227837716
AC008271.1	-0.164860043	0.589626748	-0.149905692	0.475821736	-0.144905122	0.633264398
AC008522.1	-0.155493828	0.804884638	-0.141963041	0.721375455	-0.131175537	0.826390235
AC008753.3	0.422309401	0.321746872	0.43609043	0.12471546	0.45497294	0.31111182
AC008781.7	-0.196332811	0.833615278	-0.182084708	0.80776246	-0.170183355	0.876063893
AC008982.2	-0.354561664	0.748681342	-0.340781846	0.65262143	-0.285581185	0.812668843
AC009005.2	0.26682913	0.230842155	0.281314699	0.081215701	0.28193151	0.215498017
AC009052.12	-0.148276629	0.399875447	-0.133625798	0.287709833	-0.132777922	0.442606692
AC009120.3	-0.222863398	0.774242833	-0.210188631	0.624600478	-0.194130238	0.779678914
AC009120.6	0.056827802	0.815553387	0.071332188	0.600421048	0.071434995	0.743307644
AC009133.12	-0.843689653	0.101461589	-0.829502447	0.007522603	-0.816212137	0.099555805
AC009133.15	-0.539391167	0.091592347	-0.524191606	0.047112087	-0.509684348	0.199891983
AC009133.17	-0.502454371	0.33333533	-0.487351864	0.156757044	-0.485824722	0.325337884
AC009133.21	-0.969138379	0.087752664	-0.952508908	0.026904007	-0.93389617	0.182524039
AC009133.23	0.065524381	0.673930714	0.07983048	0.398570203	0.081602159	0.580752284
AC009133.24	0.064149037	0.664389552	0.078890103	0.379531511	0.079979754	0.578159292
AC009245.3	0.192263708	0.3297906	0.206727936	0.138150912	0.211040219	0.315598581
AC009264.1	-0.000771488	0.99922666	0.014560552	0.980397053	0.034427724	0.964842164
AC009299.2	0.774304486	0.239801701	0.786123777	0.068531671	0.800388267	0.253964491
AC009299.3	0.045787965	0.90901435	0.060010478	0.762618168	0.06153961	0.869447615
AC009299.4	-0.264375453	0.761747659	-0.248735848	0.642395732	-0.189268382	0.832337338
AC009299.5	0.174998095	0.678348554	0.18927593	0.456119416	0.191019696	0.628782431
AC009303.2	0.91481643	0.191207068	0.927838723	0.020630636	0.975164438	0.11823068
AC009403.2	0.101129608	0.812848387	0.115072335	0.608548646	0.117204949	0.746378066
AC009404.2	-0.179976618	0.346066856	-0.16552938	0.237233677	-0.159202397	0.405262374
AC009487.6	-0.083057923	0.770969246	-0.06868843	0.707984336	-0.065427124	0.828161549
AC009501.4	-0.937683309	0.276289897	-0.919233706	0.146631168	-0.910911828	0.392741482
AC009502.4	0.011119507	0.989149566	0.025878268	0.958774883	0.025581877	0.964200139
AC009505.2	-0.650897866	0.086293474	-0.636773462	0.046049188	-0.629853385	0.172780905
AC009506.1	0.656858575	0.252176018	0.669191632	0.054458497	0.683573794	0.179367504
AC009948.5	0.183749173	0.283614967	0.198552775	0.105357094	0.2010588	0.234880465
AC009961.3	-0.572846773	0.539566309	-0.558748588	0.307111865	-0.505297687	0.581663951
AC010468.1	0.161020358	0.41560078	0.175554708	0.201814055	0.17589929	0.354957532
AC010547.9	0.155904094	0.434736169	0.170135369	0.22079202	0.169894091	0.397084557
AC010642.1	0.198403679	0.141097023	0.212857467	0.042877793	0.213141843	0.13355169
AC010646.3	-0.045867135	0.782053349	-0.031504094	0.759372952	-0.030932334	0.860496118
AC010761.8	-1.383462324	0.092694198	-1.368117904	0.004588075	-1.290634168	0.143501996
AC010894.3	0.014805454	0.9855133	0.029079804	0.932786654	0.033432825	0.962295136
AC011330.13	0.332679203	0.702771093	0.344734245	0.432329773	0.351644764	0.61356957
AC011330.5	0.477587755	0.833615278	0.495224186	0.489028515	0.602729963	0.602924389
AC011380.9	0.015172168	0.964130453	0.030098761	0.853180746	0.035916751	0.90389702
AC011530.4	0.173625939	0.435983539	0.188097314	0.218077495	0.188089402	0.383527963
AC012146.7	0.639915763	0.204489252	0.65393205	0.050212992	0.659298348	0.172780905
AC012358.8	0.544373489	0.119394876	0.558461717	0.02313365	0.576934704	0.087354055
AC012363.4	-0.077809654	0.877321335	-0.063228163	0.867509157	-0.063852298	0.898532131
AC012501.3	-0.287248181	0.642272759	-0.272911253	0.444792384	-0.273290786	0.602557591
AC013460.1	0.181634143	0.847834915	0.195015037	0.696312633	0.201021072	0.792562079
AC013461.1	0.021339295	0.932521429	0.036142588	0.774515035	0.037784979	0.87131516
AC015688.3	-0.357452813	0.001005041	-0.343132183	0.000244804	-0.34274391	0.010655631
AC015691.13	0.101346404	0.702935646	0.115450277	0.472718813	0.116783509	0.638883185
AC015971.2	-0.337944923	0.658991609	-0.321855755	0.501785797	-0.305265421	0.719873124
AC016292.3	0.365471931	0.231790539	0.379258827	0.066608068	0.379280107	0.156231736
AC016629.7	0.131709076	0.861148349	0.145289986	0.700111646	0.141659974	0.820184931
AC016710.1	-0.122053167	0.925329948	-0.104856462	0.995730144	-0.055921205	0.965408963
AC016734.2	0.004521638	0.978984957	0.018975807	0.808379686	0.020365671	0.888223696
AC016735.2	-0.608226584	0.034886459	-0.59364629	0.010201889	-0.591058996	0.045183454
AC016738.3	-0.783570592	0.275049798	-0.766545286	0.104978371	-0.739909825	0.292081879
AC016739.2	0.033060781	0.89775789	0.047716355	0.728068497	0.048432901	0.839695619
AC016747.3	0.14077713	0.337883353	0.155224521	0.142894789	0.155655587	0.263679679
AC018463.4	0.110628122	0.845400188	0.124443217	0.677157883	0.149103517	0.772548053
AC018641.7	0.42508542	0.613557775	0.437545412	0.357330876	0.45789827	0.562375303
AC018647.3	0.659757508	0.169280461	0.67402088	0.029816674	0.680723131	0.124708522
AC018738.2	0.009632149	0.980025179	0.024259917	0.899924127	0.02500615	0.943081829
AC018755.16	-0.000978989	0.998697104	0.013562539	0.966091195	0.025968937	0.960157386
AC018804.6	-0.642740414	0.522636245	-0.625928308	0.367329356	-0.608883639	0.597249998
AC018865.5	-0.791909971	0.283087283	-0.773567614	0.093345758	-0.752371126	0.263620887
AC018890.6	0.052062064	0.856766817	0.066515532	0.672799384	0.065719027	0.792576542
AC019097.7	-0.071176087	0.839189701	-0.057003854	0.814529798	-0.056233184	0.868382937
AC022007.5	-0.442264154	0.618232924	-0.425536689	0.453593873	-0.29325632	0.763013966
AC022210.2	0.091312282	0.91867245	0.106588086	0.81172546	0.111814213	0.882397492
AC023347.1	0.004485348	0.993589628	0.018141542	0.928317409	0.020429698	0.963778446
AC024560.3	0.267507926	0.391859099	0.281392387	0.185713854	0.283947114	0.357998321
AC024592.12	-0.080564307	0.600308566	-0.065819133	0.484138265	-0.06546924	0.670594218
AC024592.9	-0.421525303	0.337270033	-0.406936847	0.21357568	-0.398909835	0.409987048
AC025171.1	0.864650596	0.139565872	0.878958906	0.024534406	0.94276287	0.120812699
AC025263.3	0.576435032	0.086747211	0.590697275	0.015627961	0.594358315	0.084329755
AC025335.1	-0.299242932	0.259624979	-0.284223023	0.148286221	-0.275546379	0.318809775
AC026271.5	0.039766172	0.86201632	0.05421909	0.67266001	0.056010236	0.780535833
AC026471.6	-0.004262765	0.99677979	0.008746767	0.968738003	0.008868201	0.992379957
AC027612.1	-0.081587812	0.809233434	-0.067229115	0.755952977	-0.068345392	0.827928197
AC027612.6	-0.155366961	0.659881662	-0.140687479	0.537303114	-0.135376259	0.695312635
AC034220.3	0.575950302	0.302292741	0.589686515	0.094034136	0.589123979	0.253713553
AC037459.4	-0.290937043	0.020572795	-0.276491247	0.007111105	-0.274012645	0.05257087
AC053503.4	0.942258839	0.241723332	0.954188632	0.072514355	1.006367635	0.262926511
AC062029.1	0.39198187	0.338743728	0.40544068	0.14361696	0.437567433	0.296153172
AC063976.3	0.427046696	0.368979259	0.442159492	0.132392808	0.466667057	0.265833875
AC067956.1	-0.488680895	0.222795877	-0.473687789	0.084647669	-0.473516522	0.203316047
AC068134.10	0.421439061	0.242865161	0.436398121	0.061865811	0.447046587	0.14683277
AC068134.6	-0.269444675	0.736013923	-0.255096445	0.63933867	-0.223376188	0.779864627
AC068282.3	0.334161103	0.245179177	0.348373839	0.07970321	0.347206272	0.200774041
AC068499.10	0.847361448	0.304080136	0.858158766	0.096330055	0.852107743	0.303886356
AC068533.7	-0.186129366	0.239027961	-0.171672694	0.150267619	-0.171210546	0.283334884
AC068580.6	-0.853993633	0.39104096	-0.83457262	0.228398987	-0.759374645	0.517008309
AC068831.10	-0.132762567	0.882609156	-0.119335225	0.848765177	-0.09702593	0.908940548
AC069368.3	0.158174622	0.561553762	0.172881595	0.315655058	0.17655678	0.483456316
AC073046.25	-1.004587321	0.003042418	-0.988487113	0.001373024	-0.965054475	0.025047661
AC073283.4	0.272132387	0.674867815	0.285422927	0.428689732	0.284959979	0.64485601
AC073333.8	-0.469482736	0.596672453	-0.452957538	0.407039727	-0.383021129	0.679871138
AC073342.12	-0.20800722	0.824159481	-0.1949017	0.687135637	-0.187495486	0.814771946
AC074011.2	-0.784748152	0.382975833	-0.765487735	0.199127706	-0.736985106	0.392072541
AC074117.10	0.076471672	0.75735535	0.090605778	0.532286529	0.090796482	0.714506945
AC074212.5	-0.347796987	0.227285174	-0.33328197	0.135869423	-0.332422128	0.29657526
AC074212.6	0.14392802	0.805675092	0.157903971	0.617869491	0.164257306	0.769454239
AC074286.1	0.068827747	0.717828425	0.083501871	0.465558951	0.085078502	0.634223364
AC078883.3	-0.709893208	0.383730016	-0.694763353	0.220645007	-0.658761811	0.44491493
AC078883.4	-1.814322471	0.034454385	-1.791513038	0.00624394	-1.680121024	0.106010877
AC078899.1	0.464586369	0.364720825	0.47800569	0.107702545	0.486320342	0.246977725
AC079135.1	0.131952663	0.793165121	0.146404577	0.584934565	0.14602649	0.75198314
AC079250.1	0.086418132	0.67569178	0.100832262	0.419100149	0.100520809	0.632239992
AC079305.8	-0.778495249	0.488791271	-0.759324479	0.339157779	-0.707910581	0.591819488
AC079776.3	-0.489439478	0.210379982	-0.474009473	0.059356829	-0.46933265	0.147010349
AC079807.2	-0.214727089	0.805100159	-0.201526422	0.710457291	-0.191759851	0.813531508
AC079807.4	0.826880418	0.333475618	0.836775886	0.099038202	0.847968405	0.270257685
AC083873.4	-0.042826501	0.887130341	-0.028536099	0.895526245	-0.027896605	0.923512362
AC083884.8	-0.661132048	0.100241114	-0.645910391	0.038021421	-0.63309641	0.149347324
AC083899.3	-0.045764896	0.831472534	-0.031428926	0.812149865	-0.027554394	0.894774959
AC084117.3	0.01349147	0.985328966	0.026528441	0.961134933	0.037746861	0.947930413
AC084219.2	0.4741363	0.298287644	0.488838225	0.09867951	0.500908517	0.216422638
AC084219.4	0.202818413	0.706423386	0.216806305	0.478062968	0.214496488	0.682595163
AC090498.1	0.152571945	0.867445584	0.167793763	0.608379208	0.180007989	0.775361405
AC090505.5	-0.586050874	0.02894904	-0.571834691	0.011300887	-0.568263233	0.047612897
AC090505.6	-1.055152832	5.53E-11	-1.040828891	8.27E-11	-1.036802115	8.00E-05
AC090587.4	0.321817228	0.767616401	0.334639091	0.54361857	0.335389341	0.743047451
AC090945.1	-0.612521491	0.268417754	-0.597094011	0.110013211	-0.595321992	0.295268965
