NAME	TITLE	SCORE	
SLC25A27	solute carrier family 25 member 27 [Source:HGNC Symbol;Acc:HGNC:21065]	2.453442	
MRPS30-DT	MRPS30 divergent transcript [Source:HGNC Symbol;Acc:HGNC:53420]	2.449649	
LINC01285	long intergenic non-protein coding RNA 1285 [Source:HGNC Symbol;Acc:HGNC:50344]	2.4492648	
SPN	sialophorin [Source:HGNC Symbol;Acc:HGNC:11249]	2.445939	
ABCA5	ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]	2.444935	
CCM2L	CCM2 like scaffold protein [Source:HGNC Symbol;Acc:HGNC:16153]	2.43938	
GALNTL5	polypeptide N-acetylgalactosaminyltransferase like 5 [Source:HGNC Symbol;Acc:HGNC:21725]	2.4386158	
KLHL3	kelch like family member 3 [Source:HGNC Symbol;Acc:HGNC:6354]	2.4353068	
NPM2	nucleophosmin/nucleoplasmin 2 [Source:HGNC Symbol;Acc:HGNC:7930]	2.433545	
MYBPHL	myosin binding protein H like [Source:HGNC Symbol;Acc:HGNC:30434]	2.4303892	
TMEM225B	transmembrane protein 225B [Source:HGNC Symbol;Acc:HGNC:53075]	2.4284177	
SMPD1	sphingomyelin phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:11120]	2.4261522	
GRID2IP	Grid2 interacting protein [Source:HGNC Symbol;Acc:HGNC:18464]	2.4202688	
SAMD12	sterile alpha motif domain containing 12 [Source:HGNC Symbol;Acc:HGNC:31750]	2.4178386	
PSMG3-AS1	PSMG3 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:22230]	2.413582	
GAS1	growth arrest specific 1 [Source:HGNC Symbol;Acc:HGNC:4165]	2.4104855	
IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	2.4010231	
FAM151A	family with sequence similarity 151 member A [Source:HGNC Symbol;Acc:HGNC:25032]	2.3938787	
CATSPERG	cation channel sperm associated auxiliary subunit gamma [Source:HGNC Symbol;Acc:HGNC:25243]	2.3902926	
ARRDC3-AS1	ARRDC3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44145]	2.3897235	
HOXC8	homeobox C8 [Source:HGNC Symbol;Acc:HGNC:5129]	2.382919	
DUBR	DPPA2 upstream binding RNA [Source:HGNC Symbol;Acc:HGNC:48569]	2.381236	
TMEM170B	transmembrane protein 170B [Source:HGNC Symbol;Acc:HGNC:34244]	2.365961	
ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	2.365641	
ZC2HC1A	zinc finger C2HC-type containing 1A [Source:HGNC Symbol;Acc:HGNC:24277]	2.3572521	
C17orf113	chromosome 17 open reading frame 113 [Source:HGNC Symbol;Acc:HGNC:53437]	2.345523	
ZNF385C	zinc finger protein 385C [Source:HGNC Symbol;Acc:HGNC:33722]	2.345523	
TRIM74	tripartite motif containing 74 [Source:HGNC Symbol;Acc:HGNC:17453]	2.3410168	
OAS1	2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]	2.3405304	
MANSC1	MANSC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25505]	2.3394053	
NTMT2	N-terminal Xaa-Pro-Lys N-methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:31932]	2.336072	
MIR526A2	microRNA 526a-2 [Source:HGNC Symbol;Acc:HGNC:32118]	2.3286958	
ACOT11	acyl-CoA thioesterase 11 [Source:HGNC Symbol;Acc:HGNC:18156]	2.3203895	
ENSG00000255647	novel transcript	2.3182106	
MDH1B	malate dehydrogenase 1B [Source:HGNC Symbol;Acc:HGNC:17836]	2.3111966	
FOXA1	forkhead box A1 [Source:HGNC Symbol;Acc:HGNC:5021]	2.2999117	
ADGRL2	adhesion G protein-coupled receptor L2 [Source:HGNC Symbol;Acc:HGNC:18582]	2.2992249	
PRRT2	proline rich transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:30500]	2.2897007	
CDK5R2	cyclin dependent kinase 5 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:1776]	2.2840164	
ECE1-AS1	ECE1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40203]	2.2836862	
BTN3A1	butyrophilin subfamily 3 member A1 [Source:HGNC Symbol;Acc:HGNC:1138]	2.2796714	
FAM222A	family with sequence similarity 222 member A [Source:HGNC Symbol;Acc:HGNC:25915]	2.2769	
CCDC194	coiled-coil domain containing 194 [Source:HGNC Symbol;Acc:HGNC:53438]	2.2669287	
CDR2L	cerebellar degeneration related protein 2 like [Source:HGNC Symbol;Acc:HGNC:29999]	2.2618413	
MATCAP2	microtubule associated tyrosine carboxypeptidase 2 [Source:HGNC Symbol;Acc:HGNC:22206]	2.2608669	
BMPR1A	bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]	2.256549	
TEX15	testis expressed 15, meiosis and synapsis associated [Source:HGNC Symbol;Acc:HGNC:11738]	2.2540033	
TEKTIP1	tektin bundle interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:34496]	2.2457924	
TLR3	toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]	2.2448235	
LIMD2	LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28142]	2.231444	
ENHO	energy homeostasis associated [Source:HGNC Symbol;Acc:HGNC:24838]	2.2291489	
AKAP3	A-kinase anchoring protein 3 [Source:HGNC Symbol;Acc:HGNC:373]	2.2272651	
MYO15A	myosin XVA [Source:HGNC Symbol;Acc:HGNC:7594]	2.2264597	
C20orf204	chromosome 20 open reading frame 204 [Source:HGNC Symbol;Acc:HGNC:27655]	2.220107	
GPR39	G protein-coupled receptor 39 [Source:HGNC Symbol;Acc:HGNC:4496]	2.2180207	
RPS6KL1	ribosomal protein S6 kinase like 1 [Source:HGNC Symbol;Acc:HGNC:20222]	2.2125745	
GPR153	G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:HGNC:23618]	2.2117565	
TMCC2	transmembrane and coiled-coil domain family 2 [Source:HGNC Symbol;Acc:HGNC:24239]	2.209973	
EFR3B	EFR3 homolog B [Source:HGNC Symbol;Acc:HGNC:29155]	2.2076473	
MIR3677	microRNA 3677 [Source:HGNC Symbol;Acc:HGNC:38932]	2.2068536	
AHNAK2	AHNAK nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:20125]	2.2065644	
EIF1B-AS1	EIF1B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44555]	2.205511	
NXPE3	neurexophilin and PC-esterase domain family member 3 [Source:HGNC Symbol;Acc:HGNC:28238]	2.199168	
TMX4	thioredoxin related transmembrane protein 4 [Source:HGNC Symbol;Acc:HGNC:25237]	2.1970928	
RECK	reversion inducing cysteine rich protein with kazal motifs [Source:HGNC Symbol;Acc:HGNC:11345]	2.1957967	
RIMS3	regulating synaptic membrane exocytosis 3 [Source:HGNC Symbol;Acc:HGNC:21292]	2.1949244	
ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	2.190385	
MLKL	mixed lineage kinase domain like pseudokinase [Source:HGNC Symbol;Acc:HGNC:26617]	2.1888201	
TUBB3	tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]	2.1880434	
ISL1-DT	ISL1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55414]	2.1863484	
NELL2	neural EGFL like 2 [Source:HGNC Symbol;Acc:HGNC:7751]	2.1803904	
CRIP1P3	cysteine rich protein 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44518]	2.1800544	
RNU6-485P	RNA, U6 small nuclear 485, pseudogene [Source:HGNC Symbol;Acc:HGNC:47448]	2.176033	
KCNMB4	potassium calcium-activated channel subfamily M regulatory beta subunit 4 [Source:HGNC Symbol;Acc:HGNC:6289]	2.1696692	
NT5M	5',3'-nucleotidase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:15769]	2.1643984	
MCF2L2	MCF.2 cell line derived transforming sequence-like 2 [Source:HGNC Symbol;Acc:HGNC:30319]	2.1619873	
TNNI3K	TNNI3 interacting kinase [Source:HGNC Symbol;Acc:HGNC:19661]	2.161622	
CYP3A5	cytochrome P450 family 3 subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:2638]	2.160738	
C2orf50	chromosome 2 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:26324]	2.1580303	
EMID1	EMI domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18036]	2.1520479	
RND2	Rho family GTPase 2 [Source:HGNC Symbol;Acc:HGNC:18315]	2.1488547	
HTR2C	5-hydroxytryptamine receptor 2C [Source:HGNC Symbol;Acc:HGNC:5295]	2.147525	
MFSD4A	major facilitator superfamily domain containing 4A [Source:HGNC Symbol;Acc:HGNC:25433]	2.139127	
LINC01521	long intergenic non-protein coding RNA 1521 [Source:HGNC Symbol;Acc:HGNC:26029]	2.1279488	
TLR5	toll like receptor 5 [Source:HGNC Symbol;Acc:HGNC:11851]	2.1240754	
PSMD14-DT	PSMD14 divergent transcript [Source:HGNC Symbol;Acc:HGNC:56104]	2.1172204	
ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:3356]	2.1113296	
C11orf65	chromosome 11 open reading frame 65 [Source:HGNC Symbol;Acc:HGNC:28519]	2.1106598	
SCOC-AS1	SCOC antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50601]	2.1075704	
RBM11	RNA binding motif protein 11 [Source:HGNC Symbol;Acc:HGNC:9897]	2.1050706	
HEPHL1	hephaestin like 1 [Source:HGNC Symbol;Acc:HGNC:30477]	2.1047604	
TNPO1P1	transportin 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:45120]	2.103421	
HOXD8	homeobox D8 [Source:HGNC Symbol;Acc:HGNC:5139]	2.098026	
NEMP2-DT	NEMP2 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55713]	2.090638	
KCND1	potassium voltage-gated channel subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:6237]	2.0881777	
ELAC1	elaC ribonuclease Z 1 [Source:HGNC Symbol;Acc:HGNC:14197]	2.0872512	
PHLPP2	PH domain and leucine rich repeat protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:29149]	2.086277	
GOLT1A	golgi transport 1A [Source:HGNC Symbol;Acc:HGNC:24766]	2.0858374	
PI16	peptidase inhibitor 16 [Source:HGNC Symbol;Acc:HGNC:21245]	2.0851746	
RPL12P13	ribosomal protein L12 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:51936]	2.0835571	
PODNL1	podocan like 1 [Source:HGNC Symbol;Acc:HGNC:26275]	2.0794444	
PRKN	parkin RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:8607]	2.075753	
RNASE4	ribonuclease A family member 4 [Source:HGNC Symbol;Acc:HGNC:10047]	2.070732	
FAM222A-AS1	FAM222A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:28223]	2.0663078	
DHDH	dihydrodiol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:17887]	2.0630977	
ITGB1-DT	ITGB1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:53718]	2.0622268	
AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326]	2.0610979	
ADAM11	ADAM metallopeptidase domain 11 [Source:HGNC Symbol;Acc:HGNC:189]	2.058773	
NRARP	NOTCH regulated ankyrin repeat protein [Source:HGNC Symbol;Acc:HGNC:33843]	2.0563617	
SNPH	syntaphilin [Source:HGNC Symbol;Acc:HGNC:15931]	2.053432	
MYO1D	myosin ID [Source:HGNC Symbol;Acc:HGNC:7598]	2.0529263	
MSANTD2-AS1	MSANTD2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55601]	2.0517013	
SVIP	small VCP interacting protein [Source:HGNC Symbol;Acc:HGNC:25238]	2.0484848	
C2orf74-AS1	C2orf74 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56377]	2.047956	
ACBD7	acyl-CoA binding domain containing 7 [Source:HGNC Symbol;Acc:HGNC:17715]	2.047297	
ANKH	ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492]	2.0462873	
RALGPS2-AS1	RALGPS2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55163]	2.0458665	
CADM4	cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:30825]	2.044178	
CD8A	CD8 subunit alpha [Source:HGNC Symbol;Acc:HGNC:1706]	2.044056	
FZD4	frizzled class receptor 4 [Source:HGNC Symbol;Acc:HGNC:4042]	2.0428631	
POLR3GL	RNA polymerase III subunit GL [Source:HGNC Symbol;Acc:HGNC:28466]	2.0426311	
PAQR4	progestin and adipoQ receptor family member 4 [Source:HGNC Symbol;Acc:HGNC:26386]	2.0407321	
GRM1	glutamate metabotropic receptor 1 [Source:HGNC Symbol;Acc:HGNC:4593]	2.0403852	
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6 [Source:HGNC Symbol;Acc:HGNC:222]	2.0366085	
TMOD2	tropomodulin 2 [Source:HGNC Symbol;Acc:HGNC:11872]	2.03537	
ATXN7L3-AS1	ATXN7L3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55298]	2.0343354	
SGMS1-AS1	SGMS1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49683]	2.0338085	
AP1S3	adaptor related protein complex 1 subunit sigma 3 [Source:HGNC Symbol;Acc:HGNC:18971]	2.0335948	
TSPAN13	tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]	2.033591	
TOX-DT	TOX divergent transcript [Source:HGNC Symbol;Acc:HGNC:55935]	2.0322397	
PDE6D	phosphodiesterase 6D [Source:HGNC Symbol;Acc:HGNC:8788]	2.0290873	
NOS2P3	nitric oxide synthase 2 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:35124]	2.0263116	
TPSP2	tryptase pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:14136]	2.0252507	
MYBL1	MYB proto-oncogene like 1 [Source:HGNC Symbol;Acc:HGNC:7547]	2.0176282	
ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	2.0121226	
CYP2T1P	cytochrome P450 family 2 subfamily T member 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:18852]	2.0121212	
ST3GAL5-AS1	ST3GAL5 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:51129]	2.0080292	
SCML1	Scm polycomb group protein like 1 [Source:HGNC Symbol;Acc:HGNC:10580]	2.0060675	
CEP19	centrosomal protein 19 [Source:HGNC Symbol;Acc:HGNC:28209]	2.0043564	
PPP1R9A	protein phosphatase 1 regulatory subunit 9A [Source:HGNC Symbol;Acc:HGNC:14946]	2.0029864	
DPH5-DT	DPH5 divergent transcript [Source:HGNC Symbol;Acc:HGNC:53720]	2.0002692	
ZMAT1	zinc finger matrin-type 1 [Source:HGNC Symbol;Acc:HGNC:29377]	2.0002468	
CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	1.9979485	
PIWIL4-AS1	PIWIL4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55493]	1.9974716	
LINC01305	long intergenic non-protein coding RNA 1305 [Source:HGNC Symbol;Acc:HGNC:27690]	1.9970781	
BDNF-AS	BDNF antisense RNA [Source:HGNC Symbol;Acc:HGNC:20608]	1.9951634	
ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:24097]	1.9946464	
GDAP1	ganglioside induced differentiation associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15968]	1.9930764	
CCDC9B	coiled-coil domain containing 9B [Source:HGNC Symbol;Acc:HGNC:33488]	1.9891112	
WDR31	WD repeat domain 31 [Source:HGNC Symbol;Acc:HGNC:21421]	1.986827	
RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]	1.9867654	
RRAGAP1-AS1	RRAGAP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55445]	1.9857787	
WNT6	Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]	1.981949	
B3GAT3P1	beta-1,3-glucuronyltransferase 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:35243]	1.9797523	
ESPNL	espin like [Source:HGNC Symbol;Acc:HGNC:27937]	1.9760906	
BLACAT1	BLACAT1 overlapping LEMD1 locus [Source:HGNC Symbol;Acc:HGNC:48597]	1.9699317	
CNKSR3	CNKSR family member 3 [Source:HGNC Symbol;Acc:HGNC:23034]	1.9689769	
PGBD5	piggyBac transposable element derived 5 [Source:HGNC Symbol;Acc:HGNC:19405]	1.964082	
PPM1J	protein phosphatase, Mg2+/Mn2+ dependent 1J [Source:HGNC Symbol;Acc:HGNC:20785]	1.9613235	
SMIM29	small integral membrane protein 29 [Source:HGNC Symbol;Acc:HGNC:1340]	1.9592122	
OTULIN-DT	OTULIN divergent transcript [Source:HGNC Symbol;Acc:HGNC:55368]	1.9533901	
WAPL-DT	WAPL divergent transcript [Source:HGNC Symbol;Acc:HGNC:55805]	1.9525096	
PRSS57	serine protease 57 [Source:HGNC Symbol;Acc:HGNC:31397]	1.9467673	
C1QL4	complement C1q like 4 [Source:HGNC Symbol;Acc:HGNC:31416]	1.9433135	
HIPK1-AS1	HIPK1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50576]	1.9415631	
RPS4XP16	ribosomal protein S4X pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:36365]	1.9389876	
ANXA2R-AS1	ANXA2R antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27208]	1.9373337	
PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	1.9370136	
LCA5L	lebercilin LCA5 like [Source:HGNC Symbol;Acc:HGNC:1255]	1.9368685	
TRIM36	tripartite motif containing 36 [Source:HGNC Symbol;Acc:HGNC:16280]	1.9319	
CUEDC1	CUE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:31350]	1.9304336	
RUSF1-DT	RUSF1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:56038]	1.9292474	
WNT7B	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]	1.9233779	
PRSS45P	serine protease 45, pseudogene [Source:HGNC Symbol;Acc:HGNC:30717]	1.9181763	
LINC00677	long intergenic non-protein coding RNA 677 [Source:HGNC Symbol;Acc:HGNC:20121]	1.9148433	
MKRN6P	makorin ring finger protein 6, pseudogene [Source:HGNC Symbol;Acc:HGNC:7118]	1.9120932	
ATG9B	autophagy related 9B [Source:HGNC Symbol;Acc:HGNC:21899]	1.9111257	
EPHA7	EPH receptor A7 [Source:HGNC Symbol;Acc:HGNC:3390]	1.9091978	
TBX2	T-box transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11597]	1.9059521	
NMNAT1	nicotinamide nucleotide adenylyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17877]	1.9039403	
SDSL	serine dehydratase like [Source:HGNC Symbol;Acc:HGNC:30404]	1.9030423	
RNA5SP392	RNA, 5S ribosomal pseudogene 392 [Source:HGNC Symbol;Acc:HGNC:43292]	1.8994558	
DECR2	2,4-dienoyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:2754]	1.8992527	
TTTY14	testis-specific transcript, Y-linked 14 [Source:HGNC Symbol;Acc:HGNC:18495]	1.897353	
SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	1.89593	
TRIM58	tripartite motif containing 58 [Source:HGNC Symbol;Acc:HGNC:24150]	1.893921	
