NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
HTR2C	1	HTR2C	
HTR2A	1	HTR2A	
NENF	1	NENF	
TNFSF13B	1	TNFSF13B	
BOC	1	BOC	
SPDL1	1	SPDL1	
NEO1	1	NEO1	
BCAS2	1	BCAS2	
BCAS1	1	BCAS1	
BOK	1	BOK	
SLC36A1	1	SLC36A1	
BCAS4	1	BCAS4	
BCAS3	1	BCAS3	
SLC36A3	1	SLC36A3	
SLC36A2	1	SLC36A2	
VPS13C	1	VPS13C	
VPS13D	1	VPS13D	
DHPS	1	DHPS	
VPS13A	1	VPS13A	
VPS13B	1	VPS13B	
CCDC183-AS1	1	CCDC183-AS1	
RABGGTB	1	RABGGTB	
RABGGTA	1	RABGGTA	
CD24P4	1	CD24P4	
NEMF	1	NEMF	
C1D	1	C1D	
BCAT1	1	BCAT1	
BCAT2	1	BCAT2	
TOLLIP-DT	1	TOLLIP-AS1	
CYP51A1P1	1	CYP51A1P1	
C1S	1	C1S	
C1R	1	C1R	
LRTM2	1	LRTM2	
LENG8	1	LENG8	
U2AF1	1	U2AF1	
IL2RG	1	IL2RG	
CYP51A1P2	1	CYP51A1P2	
DRAM1	1	DRAM1	
U2AF2	1	U2AF2	
DRAM2	1	DRAM2	
TSPOAP1	1	TSPOAP1	
KCNJ1	1	KCNJ1	
SLC36A4	1	SLC36A4	
BBLN	1	C9orf16	
KCNJ4	1	KCNJ4	
KCNJ5	1	KCNJ5	
KCNJ6	1	KCNJ6	
COL26A1	1	COL26A1	
GPKOW	1	GPKOW	
GSTZ1	1	GSTZ1	
IL2RB	1	IL2RB	
KCNK1	1	KCNK1	
BCAR1	1	BCAR1	
KCNK4	1	KCNK4	
SLC23A3	1	SLC23A3	
SLC23A2	1	SLC23A2	
CERK	1	CERK	
LGALSL	1	LGALSL	
CCP110	1	CCP110	
PEX26	1	PEX26	
LGALS4	1	LGALS4	
C4B	1	C4B	
LGALS3	1	LGALS3	
C4A	1	C4A	
LGALS2	1	LGALS2	
LGALS1	1	LGALS1	
MCIDAS	1	MCIDAS	
H2BC12L	1	H2BFS	
BSG	1	BSG	
ATXN7L1	1	ATXN7L1	
LGALS9	1	LGALS9	
LGALS8	1	LGALS8	
ATXN7L2	1	ATXN7L2	
BSN	1	BSN	
ATXN7L3	1	ATXN7L3	
EIF5AP4	1	EIF5AP4	
LIMCH1	1	LIMCH1	
EGLN1P1	1	EGLN1P1	
GOLPH3L	1	GOLPH3L	
DRAIC	1	DRAIC	
CFAP144	1	FAM183A	
CFDP1	1	CFDP1	
BTD	1	BTD	
SOAT1	1	SOAT1	
CRISPLD1	1	CRISPLD1	
CRISPLD2	1	CRISPLD2	
SUB1	1	SUB1	
NINJ2	1	NINJ2	
KCNQ2	1	KCNQ2	
NINJ1	1	NINJ1	
BTK	1	BTK	
KCNQ4	1	KCNQ4	
DOCK9-DT	1	DOCK9-AS2	
CES3	1	CES3	
CES2	1	CES2	
CES1	1	CES1	
CETP	1	CETP	
GRB7	1	GRB7	
DHX8	1	DHX8	
DHX9	1	DHX9	
RRAD	1	RRAD	
ZBTB1	1	ZBTB1	
ZBTB5	1	ZBTB5	
ZBTB4	1	ZBTB4	
ZBTB3	1	ZBTB3	
CFAP126	1	CFAP126	
ZBTB2	1	ZBTB2	
NEU2	1	NEU2	
PKHD1	1	PKHD1	
NKAIN2	1	NKAIN2	
NKAIN1	1	NKAIN1	
NEU3	1	NEU3	
SEPTIN7P6	1	SEPT7P6	
NKAIN4	1	NKAIN4	
MRNIP	1	C5orf45	
RRAS	1	RRAS	
RACGAP1	1	RACGAP1	
SEPTIN7P9	1	SEPT7P9	
KCNN1	1	KCNN1	
KCNN2	1	KCNN2	
KCNN4	1	KCNN4	
H3C4	1	HIST1H3D	
H3C7	1	HIST1H3F	
BBS2	1	BBS2	
BBS1	1	BBS1	
NTNG2	1	NTNG2	
XBP1	1	XBP1	
SLC10A7	1	SLC10A7	
YES1	1	YES1	
HSD17B1P1	1	HSD17B1P1	
SPDYC	1	SPDYC	
SLC10A3	1	SLC10A3	
SUCO	1	SUCO	
IL36G	1	IL36G	
CPLANE1	1	C5orf42	
CFAP119	1	CCDC189	
CPLANE2	1	RSG1	
NET1	1	NET1	
ZBTB9	1	ZBTB9	
ZBTB6	1	ZBTB6	
MC1R	1	MC1R	
SPDYA	1	SPDYA	
GRB2	1	GRB2	
GRAP	1	GRAP	
TFB1M	1	TFB1M	
C8G	1	C8G	
SUFU	1	SUFU	
BBS9	1	BBS9	
BBS7	1	BBS7	
BBS5	1	BBS5	
BBS4	1	BBS4	
EIF5AL1	1	EIF5AL1	
H3C8	1	HIST1H3G	
FCER1G	1	FCER1G	
PCYT1A	1	PCYT1A	
ZHX3	1	ZHX3	
AGTRAP	1	AGTRAP	
CACYBP	1	CACYBP	
TFB2M	1	TFB2M	
ZHX1	1	ZHX1	
RNF144A	1	RNF144A	
RNF144B	1	RNF144B	
PITPNM1	1	PITPNM1	
PITPNM3	1	PITPNM3	
PITPNM2	1	PITPNM2	
TAX1BP1	1	TAX1BP1	
ERCC6L2-AS1	1	LINC00476	
FAM32A	1	FAM32A	
FAM193B	1	FAM193B	
TAX1BP3	1	TAX1BP3	
FAM193A	1	FAM193A	
SSNA1	1	SSNA1	
NEXN	1	NEXN	
PEX16	1	PEX16	
PEX19	1	PEX19	
KLHL2	1	KLHL2	
KLHL3	1	KLHL3	
PEX10	1	PEX10	
KCNRG	1	KCNRG	
PEX12	1	PEX12	
CFAP157	1	CFAP157	
PEX13	1	PEX13	
PEX14	1	PEX14	
KLHL9	1	KLHL9	
ETAA1	1	ETAA1	
TFAP4	1	TFAP4	
KLHL5	1	KLHL5	
KCNS1	1	KCNS1	
KLHL6	1	KLHL6	
KLHL7	1	KLHL7	
KCNS3	1	KCNS3	
KLHL8	1	KLHL8	
ANP32AP1	1	ANP32AP1	
INPPL1	1	INPPL1	
PLAT	1	PLAT	
PLB1	1	PLB1	
TXN2	1	TXN2	
IGF1R	1	IGF1R	
PPIP5K1	1	PPIP5K1	
PLAU	1	PLAU	
PPIP5K2	1	PPIP5K2	
ENPP1	1	ENPP1	
RXYLT1	1	TMEM5	
ENPP5	1	ENPP5	
CARD10	1	CARD10	
SNORA59A	1	SNORA59A	
RN7SL558P	1	RN7SL558P	
ADAM11	1	ADAM11	
ADAM10	1	ADAM10	
DHDDS	1	DHDDS	
ADAM19	1	ADAM19	
ADAM17	1	ADAM17	
BRMS1	1	BRMS1	
ADAM15	1	ADAM15	
CARD19	1	CARD19	
ADAM1A	1	ADAM1A	
PLAA	1	PLAA	
CARD18	1	CARD18	
CARD14	1	CARD14	
CARD11	1	CARD11	
RBMS2P1	1	RBMS2P1	
HTRA4	1	HTRA4	
PLD5	1	PLD5	
HTRA2	1	HTRA2	
PLD6	1	PLD6	
PLD1	1	PLD1	
PLD3	1	PLD3	
PLD2	1	PLD2	
NME1-NME2	1	NME1-NME2	
GRK3	1	GRK3	
GRK2	1	GRK2	
GRK5	1	GRK5	
GRK4	1	GRK4	
GRK7	1	GRK7	
GRK6	1	GRK6	
PIBF1	1	PIBF1	
ZNF350-AS1	1	ZNF350-AS1	
CHCHD10	1	CHCHD10	
FAM199X	1	FAM199X	
IGF2R	1	IGF2R	
BSPRY	1	BSPRY	
RBM22P5	1	RBM22P5	
ZMYND15	1	ZMYND15	
ZMYND19	1	ZMYND19	
PITPNC1	1	PITPNC1	
GRM4	1	GRM4	
ZIC2	1	ZIC2	
CA3	1	CA3	
ZNF473CR	1	FLJ26850	
CA2	1	CA2	
ZIC1	1	ZIC1	
MIR103A2	1	MIR103A2	
RNU6-513P	1	RNU6-513P	
MYBL2	1	MYBL2	
CA9	1	CA9	
MYBL1	1	MYBL1	
SUN3	1	SUN3	
SUN2	1	SUN2	
SUN1	1	SUN1	
ATP6AP1	1	ATP6AP1	
CKS1BP7	1	CKS1BP7	
CAD	1	CAD	
ATP6AP2	1	ATP6AP2	
HUNK	1	HUNK	
SEPTIN7P3	1	SEPT7P3	
SEPTIN7P2	1	SEPT7P2	
ELF1	1	ELF1	
ELF2	1	ELF2	
GFOD1	1	GFOD1	
ELF3	1	ELF3	
ELF4	1	ELF4	
ELF5	1	ELF5	
CAT	1	CAT	
GFOD2	1	GFOD2	
ZMYND10	1	ZMYND10	
ZMYND11	1	ZMYND11	
ZMYND12	1	ZMYND12	
SDCBPP3	1	SDCBPP3	
SHANK3	1	SHANK3	
SHANK2	1	SHANK2	
SHANK1	1	SHANK1	
PLEC	1	PLEC	
RRN3	1	RRN3	
CBL	1	CBL	
GLIPR1-AS1	1	RP11-585P4.5	
SV2C	1	SV2C	
SV2A	1	SV2A	
CBS	1	CBS	
TBX20	1	TBX20	
CKS1BP3	1	CKS1BP3	
CLVS1	1	CLVS1	
RRM1	1	RRM1	
RRM2	1	RRM2	
ATP5PBP3	1	ATP5F1P3	
ZIC4	1	ZIC4	
ZIC5	1	ZIC5	
SUOX	1	SUOX	
TBX19	1	TBX19	
CD4	1	CD4	
CCS	1	CCS	
NOPCHAP1	1	C12orf45	
CD6	1	CD6	
CD5	1	CD5	
CD7	1	CD7	
CD9	1	CD9	
MNX1-AS1	1	MNX1-AS1	
MNX1-AS2	1	MNX1-AS2	
VPS29	1	VPS29	
FRMPD1	1	FRMPD1	
RRP1	1	RRP1	
FRMPD2	1	FRMPD2	
ELK1	1	ELK1	
RRP8	1	RRP8	
ELK3	1	ELK3	
RRP9	1	RRP9	
ELK4	1	ELK4	
SCN11A	1	SCN11A	
VPS35	1	VPS35	
VPS36	1	VPS36	
VPS39	1	VPS39	
VPS18	1	VPS18	
CLEC11A	1	CLEC11A	
HUS1	1	HUS1	
CEL	1	CEL	
NUP93	1	NUP93	
H3P6	1	H3F3AP4	
BCAM	1	BCAM	
HECW2	1	HECW2	
TARS2	1	TARS2	
SRFBP1	1	SRFBP1	
DLX6-AS1	1	DLX6-AS1	
RN7SL574P	1	RN7SL574P	
TARS3	1	TARSL2	
NUP98	1	NUP98	
SNORA50A	1	SNORA50A	
VPS25	1	VPS25	
SNORA50C	1	SNORA50C	
TARS1	1	TARS	
VPS28	1	VPS28	
CFB	1	CFB	
RNF216P1	1	RNF216P1	
CFD	1	CFD	
PLEKHA8P1	1	PLEKHA8P1	
METTL25B	1	RRNAD1	
CFP	1	CFP	
RRP7A	1	RRP7A	
NUP85	1	NUP85	
ST3GAL4	1	ST3GAL4	
VPS11	1	VPS11	
RRS1	1	RRS1	
ST3GAL5	1	ST3GAL5	
ST3GAL6	1	ST3GAL6	
NUP88	1	NUP88	
CGA	1	CGA	
ST3GAL1	1	ST3GAL1	
ST3GAL2	1	ST3GAL2	
ST3GAL3	1	ST3GAL3	
VPS16	1	VPS16	
C3orf18	1	C3orf18	
PLK4	1	PLK4	
LRRC37A3	1	LRRC37A3	
NFE2	1	NFE2	
ARL14EP	1	ARL14EP	
PLK3	1	PLK3	
LRRC37A2	1	LRRC37A2	
PLK5	1	PLK5	
APOOL	1	APOOL	
GTF2IRD2	1	GTF2IRD2	
MCAM	1	MCAM	
PLK2	1	PLK2	
PLK1	1	PLK1	
KLF3-AS1	1	KLF3-AS1	
CGN	1	CGN	
C3orf14	1	C3orf14	
MCAT	1	MCAT	
ELL2	1	ELL2	
ELL3	1	ELL3	
ZNF559-ZNF177	1	ZNF559-ZNF177	
GTF2IRD1	1	GTF2IRD1	
RSPH10B	1	RSPH10B	
MOCS2	1	MOCS2	
MOCS3	1	MOCS3	
STON1	1	STON1	
CHM	1	CHM	
STON2	1	STON2	
MCEE	1	MCEE	
FGD5-AS1	1	FGD5-AS1	
DGUOK-AS1	1	DGUOK-AS1	
ELOA	1	TCEB3	
ELOB	1	TCEB2	
RRP12	1	RRP12	
ELOC	1	TCEB1	
CIC	1	CIC	
RRP15	1	RRP15	
EDARADD	1	EDARADD	
RPS6KL1	1	RPS6KL1	
EXOC8	1	EXOC8	
PLLP	1	PLLP	
EXOC7	1	EXOC7	
CIT	1	CIT	
EXOC4	1	EXOC4	
PLIN4	1	PLIN4	
PLIN3	1	PLIN3	
EXOC3	1	EXOC3	
EXOC6	1	EXOC6	
PLIN2	1	PLIN2	
EXOC5	1	EXOC5	
PLIN1	1	PLIN1	
RCCD1	1	RCCD1	
MOCS1	1	MOCS1	
EXOC2	1	EXOC2	
EXOC1	1	EXOC1	
PLIN5	1	PLIN5	
NFIX	1	NFIX	
C1orf198	1	C1orf198	
PRUNE2	1	PRUNE2	
PRUNE1	1	PRUNE1	
METTL21A	1	METTL21A	
MIR4307HG	1	MIR4307HG	
APOL4	1	APOL4	
APOL6	1	APOL6	
RRP36	1	RRP36	
CKB	1	CKB	
APOL1	1	APOL1	
PAIP2	1	PAIP2	
APOL3	1	APOL3	
ZIM2	1	ZIM2	
APOL2	1	APOL2	
PAIP1	1	PAIP1	
HIPK4	1	HIPK4	
CKM	1	CKM	
MOCOS	1	MOCOS	
MTND1P23	1	MTND1P23	
RFLNB	1	FAM101B	
ELP1	1	IKBKAP	
ELP2	1	ELP2	
ELP3	1	ELP3	
ELP4	1	ELP4	
RRP1B	1	RRP1B	
HIPK1	1	HIPK1	
ELP5	1	ELP5	
ELP6	1	ELP6	
HIPK3	1	HIPK3	
HIPK2	1	HIPK2	
RFLNA	1	FAM101A	
RPL4P3	1	RPL4P3	
RPL4P4	1	RPL4P4	
HERC2P10	1	HERC2P10	
NFIA	1	NFIA	
RPL4P6	1	RPL4P6	
NFIB	1	NFIB	
NFIC	1	NFIC	
FOSB	1	FOSB	
PLP2	1	PLP2	
MYL12BP1	1	MYL12BP1	
RBMS1P1	1	RBMS1P1	
TMEM229B	1	TMEM229B	
C1orf174	1	C1orf174	
CLU	1	CLU	
LCLAT1	1	LCLAT1	
THG1L	1	THG1L	
PODNL1	1	PODNL1	
CFL2	1	CFL2	
CFL1	1	CFL1	
PLS3	1	PLS3	
OIP5	1	OIP5	
PLS1	1	PLS1	
IL13RA1	1	IL13RA1	
KCMF1	1	KCMF1	
COL27A1	1	COL27A1	
MIRLET7I	1	MIRLET7I	
MIRLET7G	1	MIRLET7G	
LEMD3	1	LEMD3	
FAM91A1	1	FAM91A1	
MIRLET7D	1	MIRLET7D	
LEMD2	1	LEMD2	
TOM1L2	1	TOM1L2	
OBSCN	1	OBSCN	
TBCAP1	1	TBCAP1	
TBCAP3	1	TBCAP3	
FKBP8	1	FKBP8	
FKBP7	1	FKBP7	
FKBP9	1	FKBP9	
FKBP4	1	FKBP4	
FKBP3	1	FKBP3	
FKBP5	1	FKBP5	
FKBP2	1	FKBP2	
OR7E62P	1	OR7E62P	
CNP	1	CNP	
GLUD1P2	1	GLUD1P7	
H2BC19P	1	HIST2H2BD	
EDRF1-AS1	1	EDRF1-AS1	
PLTP	1	PLTP	
MCL1	1	MCL1	
C1orf167	1	C1orf167	
C1orf162	1	C1orf162	
TCEANC	1	TCEANC	
MISFA	1	SPTY2D1-AS1	
BCL9	1	BCL9	
UBOX5	1	UBOX5	
BCL6	1	BCL6	
CPD	1	CPD	
BCL3	1	BCL3	
BCL2	1	BCL2	
GLUD1P3	1	GLUD1P3	
C1orf159	1	C1orf159	
OSCP1	1	OSCP1	
SLC48A1	1	SLC48A1	
CPM	1	CPM	
MCM7	1	MCM7	
MCM8	1	MCM8	
ZC3H4	1	ZC3H4	
C1orf131	1	C1orf131	
ZC3H3	1	ZC3H3	
MCM9	1	MCM9	
ZC3H8	1	ZC3H8	
ZC3H6	1	ZC3H6	
CPZ	1	CPZ	
VPS72	1	VPS72	
CEP170B	1	CEP170B	
EVI5L	1	EVI5L	
OIT3	1	OIT3	
DPRXP4	1	DPRXP4	
GGPS1	1	GGPS1	
DIS3	1	DIS3	
APOA2	1	APOA2	
APOA5	1	APOA5	
HMGN2P15	1	HMGN2P15	
SAPCD2	1	SAPCD2	
SAPCD1	1	SAPCD1	
MCM3	1	MCM3	
ST20-MTHFS	1	ST20-MTHFS	
MCM4	1	MCM4	
XCL1	1	XCL1	
MCM5	1	MCM5	
MCM6	1	MCM6	
CRK	1	CRK	
MCM2	1	MCM2	
HDAC4	1	HDAC4	
HDAC5	1	HDAC5	
CEBPA	1	CEBPA	
C1orf112	1	C1orf112	
CEBPB	1	CEBPB	
HDAC2	1	HDAC2	
HDAC3	1	HDAC3	
ICMT-DT	1	LINC00337	
CEBPD	1	CEBPD	
HDAC1	1	HDAC1	
VPS4B	1	VPS4B	
VPS4A	1	VPS4A	
CEBPG	1	CEBPG	
TULP4	1	TULP4	
TULP3	1	TULP3	
TULP2	1	TULP2	
TULP1	1	TULP1	
C1RL-AS1	1	C1RL-AS1	
HDAC8	1	HDAC8	
HDAC9	1	HDAC9	
HDAC6	1	HDAC6	
HDAC7	1	HDAC7	
STOX2	1	STOX2	
NFS1	1	NFS1	
HECTD1	1	HECTD1	
CYP2F2P	1	CYP2F2P	
VPS51	1	VPS51	
HECTD2	1	HECTD2	
VPS50	1	VPS50	
HECTD3	1	HECTD3	
VPS53	1	VPS53	
HECTD4	1	HECTD4	
SVBP	1	SVBP	
VPS52	1	VPS52	
IL21R	1	IL21R	
VPS54	1	VPS54	
CSK	1	CSK	
C1orf109	1	C1orf109	
BCO2	1	BCO2	
BCO1	1	BCO1	
RPL36AP43	1	RPL36AP43	
STOX1	1	STOX1	
C1orf105	1	C1orf105	
SLC35A2	1	SLC35A2	
MGME1	1	MGME1	
SLC35A1	1	SLC35A1	
SLC35A4	1	SLC35A4	
ITGA9-AS1	1	ITGA9-AS1	
SLC35A3	1	SLC35A3	
C1orf122	1	C1orf122	
APOC4	1	APOC4	
APOC3	1	APOC3	
APOBR	1	APOBR	
CPPED1	1	CPPED1	
ASXL1	1	ASXL1	
MAB21L3	1	MAB21L3	
MAB21L4	1	C2orf54	
CTH	1	CTH	
APOC2	1	APOC2	
VPS41	1	VPS41	
APOC1	1	APOC1	
ASXL2	1	ASXL2	
MAP3K14-AS1	1	MAP3K14-AS1	
CEBPZ	1	CEBPZ	
VPS45	1	VPS45	
BCOR	1	BCOR	
C1orf116	1	C1orf116	
C1orf115	1	C1orf115	
DSG2-AS1	1	DSG2-AS1	
SLC35B3	1	SLC35B3	
SLC35B2	1	SLC35B2	
IL1RN	1	IL1RN	
SLC35B4	1	SLC35B4	
DCAF4L1	1	DCAF4L1	
MISP3	1	MISP3	
SLC35B1	1	SLC35B1	
C6orf89	1	C6orf89	
CALR4P	1	CALR4P	
RPS6KA4	1	RPS6KA4	
NFU1	1	NFU1	
RPS6KA3	1	RPS6KA3	
RPS6KA5	1	RPS6KA5	
NIPAL1	1	NIPAL1	
RPS6KA2	1	RPS6KA2	
NIPAL3	1	NIPAL3	
RPS6KA1	1	RPS6KA1	
ARFIP2	1	ARFIP2	
ARFIP1	1	ARFIP1	
H4C4	1	HIST1H4D	
SLC35A5	1	SLC35A5	
H4C5	1	HIST1H4E	
TANGO6	1	TANGO6	
IL1R1	1	IL1R1	
SLC35C2	1	SLC35C2	
IL1R2	1	IL1R2	
TANGO2	1	TANGO2	
SLC35C1	1	SLC35C1	
TWSG1	1	TWSG1	
IL23A	1	IL23A	
GSAP	1	GSAP	
OBSL1	1	OBSL1	
SLC22A4	1	SLC22A4	
SLC22A5	1	SLC22A5	
SLC35D1	1	SLC35D1	
SH2D2A	1	SH2D2A	
SLC35D2	1	SLC35D2	
SLC22A1	1	SLC22A1	
CFAP251	1	WDR66	
GSE1	1	GSE1	
FAM43A	1	FAM43A	
ARGLU1	1	ARGLU1	
H4C8	1	HIST1H4H	
XCR1	1	XCR1	
H4C9	1	HIST1H4I	
SLC35E1	1	SLC35E1	
SLC35E4	1	SLC35E4	
SLC35E3	1	SLC35E3	
SH2D1B	1	SH2D1B	
MPHOSPH10	1	MPHOSPH10	
TECPR2	1	TECPR2	
TECPR1	1	TECPR1	
SLC35F6	1	SLC35F6	
SLC35F3	1	SLC35F3	
CAB39L	1	CAB39L	
SLC35F2	1	SLC35F2	
SLC35F5	1	SLC35F5	
DPPA3P1	1	DPPA3P1	
MCUB	1	MCUB	
DPPA3P2	1	DPPA3P2	
RSF1	1	RSF1	
C6orf47	1	C6orf47	
SIPA1L2	1	SIPA1L2	
MRPS31P4	1	MRPS31P4	
SIPA1L3	1	SIPA1L3	
MRPS31P5	1	MRPS31P5	
SIPA1L1	1	SIPA1L1	
SLC35G2	1	SLC35G2	
TYK2	1	TYK2	
SLC35G1	1	SLC35G1	
GSEC	1	ST3GAL4-AS1	
MT1P1	1	MT1P1	
MTSS2	1	MTSS1L	
NFX1	1	NFX1	
C1QTNF12	1	FAM132A	
ANP32BP1	1	ANP32BP1	
CALML3-AS1	1	CALML3-AS1	
MPRIPP1	1	MPRIPP1	
AMER1	1	AMER1	
MEGF6	1	MEGF6	
RPS3AP5	1	RPS3AP5	
RPS3AP6	1	RPS3AP6	
RGPD6	1	RGPD6	
RGPD5	1	RGPD5	
RGPD8	1	RGPD8	
TYMS	1	TYMS	
RGPD2	1	RGPD2	
RGPD1	1	RGPD1	
AGAP2-AS1	1	AGAP2-AS1	
RGPD4	1	RGPD4	
RNU7-104P	1	RNU7-104P	
TYMP	1	TYMP	
RGPD3	1	RGPD3	
BEGAIN	1	BEGAIN	
TCEAL8	1	TCEAL8	
TCEAL7	1	TCEAL7	
CFAP298	1	C21orf59	
C6orf62	1	C6orf62	
TCEAL4	1	TCEAL4	
TCEAL3	1	TCEAL3	
EMC1	1	EMC1	
EMC2	1	EMC2	
TCEAL1	1	TCEAL1	
EMC3	1	EMC3	
SUSD4	1	SUSD4	
EMC4	1	EMC4	
SUSD3	1	SUSD3	
SUSD6	1	SUSD6	
FAM47E	1	FAM47E	
EMC6	1	EMC6	
EMC7	1	EMC7	
EMC8	1	EMC8	
EMC9	1	EMC9	
TCEAL9	1	TCEAL9	
