NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOCC_CHROMOSOME_CENTROMERIC_REGION	258	238		
GOCC_CHROMOSOME_PASSENGER_COMPLEX	6		Rejected!	
GOCC_CHROMOSOME_TELOMERIC_REGION	171	154		
GOCC_CHROMOSOME_TELOMERIC_REPEAT_REGION	13		Rejected!	
GOCC_CHYLOMICRON	12		Rejected!	
GOCC_CIA_COMPLEX	5		Rejected!	
GOCC_CILIARY_BASAL_BODY	171	153		
GOCC_CILIARY_BASE	47	36		
GOCC_CILIARY_MEMBRANE	76	53		
GOCC_CILIARY_PLASM	167	117		
GOCC_CILIARY_ROOTLET	15		Rejected!	
GOCC_CILIARY_TIP	48	44		
GOCC_CILIARY_TRANSITION_FIBER	8		Rejected!	
GOCC_CILIARY_TRANSITION_ZONE	73	65		
GOCC_CILIUM	764		Rejected!	
GOCC_CIS_GOLGI_NETWORK	74	52		
GOCC_CIS_GOLGI_NETWORK_MEMBRANE	10		Rejected!	
GOCC_CKM_COMPLEX	5		Rejected!	
GOCC_CLATHRIN_ADAPTOR_COMPLEX	26	24		
GOCC_CLATHRIN_COAT	48	43		
GOCC_CLATHRIN_COATED_ENDOCYTIC_VESICLE	92	48		
GOCC_CLATHRIN_COATED_ENDOCYTIC_VESICLE_MEMBRANE	74	36		
GOCC_CLATHRIN_COATED_PIT	75	67		
GOCC_CLATHRIN_COATED_VESICLE	214	151		
GOCC_CLATHRIN_COATED_VESICLE_MEMBRANE	136	88		
GOCC_CLATHRIN_COAT_OF_COATED_PIT	17	15		
GOCC_CLATHRIN_COMPLEX	6		Rejected!	
GOCC_CLATHRIN_SCULPTED_GAMMA_AMINOBUTYRIC_ACID_TRANSPORT_VESICLE	8		Rejected!	
GOCC_CLATHRIN_SCULPTED_MONOAMINE_TRANSPORT_VESICLE	5		Rejected!	
GOCC_CLATHRIN_SCULPTED_VESICLE	12		Rejected!	
GOCC_CLATHRIN_VESICLE_COAT	34	31		
GOCC_CLEAVAGE_FURROW	54	47		
GOCC_CLOCK_BMAL_TRANSCRIPTION_COMPLEX	5		Rejected!	
GOCC_CLUSTER_OF_ACTIN_BASED_CELL_PROJECTIONS	165	118		
GOCC_CMG_COMPLEX	11		Rejected!	
GOCC_COATED_VESICLE	313	239		
GOCC_COATED_VESICLE_MEMBRANE	203	148		
GOCC_COHESIN_COMPLEX	10		Rejected!	
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	430	235		
GOCC_COLLAGEN_TRIMER	86	40		
GOCC_COLLAGEN_TYPE_IV_TRIMER	6		Rejected!	
GOCC_COMMITMENT_COMPLEX	5		Rejected!	
GOCC_COMPACT_MYELIN	14		Rejected!	
GOCC_COMPLEX_OF_COLLAGEN_TRIMERS	21		Rejected!	
GOCC_CONDENSED_CHROMOSOME	282	249		
GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	182	172		
GOCC_CONDENSED_NUCLEAR_CHROMOSOME	81	58		
GOCC_CONDENSIN_COMPLEX	8		Rejected!	
GOCC_CONE_PHOTORECEPTOR_OUTER_SEGMENT	9		Rejected!	
GOCC_CONNEXIN_COMPLEX	21		Rejected!	
GOCC_CONTRACTILE_FIBER	245	186		
GOCC_CONTRACTILE_RING	10		Rejected!	
GOCC_COP9_SIGNALOSOME	17	15		
GOCC_COPII_COATED_ER_TO_GOLGI_TRANSPORT_VESICLE	94	72		
GOCC_COPII_VESICLE_COAT	16	16		
GOCC_COPI_COATED_VESICLE	25	23		
GOCC_COPI_COATED_VESICLE_MEMBRANE	18	17		
GOCC_COPI_VESICLE_COAT	13		Rejected!	
GOCC_CORE_MEDIATOR_COMPLEX	26	26		
GOCC_CORNIFIED_ENVELOPE	60	32		
GOCC_CORTICAL_ACTIN_CYTOSKELETON	73	61		
GOCC_CORTICAL_CYTOSKELETON	105	84		
GOCC_CORTICAL_ENDOPLASMIC_RETICULUM	6		Rejected!	
GOCC_CORTICAL_GRANULE	6		Rejected!	
GOCC_CORVET_COMPLEX	7		Rejected!	
GOCC_COSTAMERE	18	15		
GOCC_CRD_MEDIATED_MRNA_STABILITY_COMPLEX	6		Rejected!	
GOCC_CTF18_RFC_LIKE_COMPLEX	7		Rejected!	
GOCC_CUL2_RING_UBIQUITIN_LIGASE_COMPLEX	25	22		
GOCC_CUL3_RING_UBIQUITIN_LIGASE_COMPLEX	36	33		
GOCC_CUL4A_RING_E3_UBIQUITIN_LIGASE_COMPLEX	13		Rejected!	
GOCC_CUL4B_RING_E3_UBIQUITIN_LIGASE_COMPLEX	6		Rejected!	
GOCC_CUL4_RING_E3_UBIQUITIN_LIGASE_COMPLEX	37	32		
GOCC_CUL5_RING_UBIQUITIN_LIGASE_COMPLEX	9		Rejected!	
GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX	182	163		
GOCC_CUTICULAR_PLATE	8		Rejected!	
GOCC_CYCLIN_CDK_POSITIVE_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX	6		Rejected!	
GOCC_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX	54	51		
GOCC_CYTOCHROME_COMPLEX	42	36		
GOCC_CYTOLYTIC_GRANULE	13		Rejected!	
GOCC_CYTOPLASMIC_DYNEIN_COMPLEX	23	21		
GOCC_CYTOPLASMIC_EXOSOME_RNASE_COMPLEX	15	15		
GOCC_CYTOPLASMIC_MICROTUBULE	106	88		
GOCC_CYTOPLASMIC_REGION	292	222		
GOCC_CYTOPLASMIC_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE	16	15		
GOCC_CYTOPLASMIC_SIDE_OF_ENDOSOME_MEMBRANE	7		Rejected!	
GOCC_CYTOPLASMIC_SIDE_OF_LYSOSOMAL_MEMBRANE	14		Rejected!	
GOCC_CYTOPLASMIC_SIDE_OF_MEMBRANE	211	158		
GOCC_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE	173	125		
GOCC_CYTOPLASMIC_STRESS_GRANULE	89	81		
GOCC_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX	13		Rejected!	
GOCC_CYTOSKELETON_OF_PRESYNAPTIC_ACTIVE_ZONE	8		Rejected!	
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	60	58		
GOCC_CYTOSOLIC_REGION	20	16		
GOCC_CYTOSOLIC_RIBOSOME	118	114		
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	41	39		
GOCC_DEATH_INDUCING_SIGNALING_COMPLEX	9		Rejected!	
GOCC_DENDRITE_CYTOPLASM	27	22		
GOCC_DENDRITE_MEMBRANE	40	22		
GOCC_DENDRITE_TERMINUS	13		Rejected!	
GOCC_DENDRITIC_FILOPODIUM	5		Rejected!	
GOCC_DENDRITIC_GROWTH_CONE	9		Rejected!	
GOCC_DENDRITIC_SHAFT	41	27		
GOCC_DENDRITIC_SPINE_HEAD	7		Rejected!	
GOCC_DENDRITIC_SPINE_MEMBRANE	15		Rejected!	
GOCC_DENDRITIC_TREE	620	425		
GOCC_DENSE_BODY	5		Rejected!	
GOCC_DENSE_CORE_GRANULE	38	17		
GOCC_DENSE_CORE_GRANULE_MEMBRANE	7		Rejected!	
GOCC_DENTATE_GYRUS_MOSSY_FIBER	6		Rejected!	
GOCC_DERLIN_1_RETROTRANSLOCATION_COMPLEX	8		Rejected!	
GOCC_DESMOSOME	27	20		
GOCC_DEUTEROSOME	6		Rejected!	
GOCC_DIHYDROLIPOYL_DEHYDROGENASE_COMPLEX	9		Rejected!	
GOCC_DISTAL_AXON	276	192		
GOCC_DNA_POLYMERASE_COMPLEX	19	18		
GOCC_DNA_RECOMBINASE_MEDIATOR_COMPLEX	7		Rejected!	
GOCC_DNA_REPAIR_COMPLEX	22	22		
GOCC_DNA_REPLICATION_FACTOR_C_COMPLEX	5		Rejected!	
GOCC_DNA_REPLICATION_PREINITIATION_COMPLEX	13		Rejected!	
GOCC_DOPAMINERGIC_SYNAPSE	14		Rejected!	
GOCC_DYNACTIN_COMPLEX	8		Rejected!	
GOCC_DYNEIN_AXONEMAL_PARTICLE	20	19		
GOCC_DYNEIN_COMPLEX	54	41		
GOCC_DYSTROGLYCAN_COMPLEX	7		Rejected!	
GOCC_DYSTROPHIN_ASSOCIATED_GLYCOPROTEIN_COMPLEX	18		Rejected!	
GOCC_EARLY_ENDOSOME	434	348		
GOCC_EARLY_ENDOSOME_LUMEN	5		Rejected!	
GOCC_EARLY_ENDOSOME_MEMBRANE	196	159		
GOCC_EARLY_PHAGOSOME	13		Rejected!	
GOCC_EGG_COAT	5		Rejected!	
GOCC_EKC_KEOPS_COMPLEX	5		Rejected!	
GOCC_ELASTIC_FIBER	5		Rejected!	
GOCC_ELONGATOR_HOLOENZYME_COMPLEX	6		Rejected!	
GOCC_ELONGIN_COMPLEX	5		Rejected!	
GOCC_EMC_COMPLEX	10		Rejected!	
GOCC_ENDOCYTIC_VESICLE	348	247		
GOCC_ENDOCYTIC_VESICLE_LUMEN	23		Rejected!	
GOCC_ENDOCYTIC_VESICLE_MEMBRANE	202	135		
GOCC_ENDOLYSOSOME	29	26		
GOCC_ENDOLYSOSOME_LUMEN	5		Rejected!	
GOCC_ENDOLYSOSOME_MEMBRANE	20	18		
GOCC_ENDONUCLEASE_COMPLEX	39	37		
GOCC_ENDOPEPTIDASE_COMPLEX	84	73		
GOCC_ENDOPLASMIC_RETICULUM_CHAPERONE_COMPLEX	11		Rejected!	
GOCC_ENDOPLASMIC_RETICULUM_EXIT_SITE	34	27		
GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT	134	115		
GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT_MEMBRANE	81	69		
GOCC_ENDOPLASMIC_RETICULUM_LUMEN	312	215		
GOCC_ENDOPLASMIC_RETICULUM_PALMITOYLTRANSFERASE_COMPLEX	8		Rejected!	
GOCC_ENDOPLASMIC_RETICULUM_PLASMA_MEMBRANE_CONTACT_SITE	12		Rejected!	
GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX	126	117		
GOCC_ENDOPLASMIC_RETICULUM_QUALITY_CONTROL_COMPARTMENT	15		Rejected!	
GOCC_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK	27	27		
GOCC_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK_MEMBRANE	5		Rejected!	
GOCC_ENDOSOME	1054		Rejected!	
GOCC_ENDOSOME_LUMEN	40	25		
GOCC_ENDOSOME_MEMBRANE	561	470		
GOCC_ENVELOPE	1270		Rejected!	
GOCC_ENZYME_ACTIVATOR_COMPLEX	16	16		
GOCC_EPSILON_DNA_POLYMERASE_COMPLEX	5		Rejected!	
GOCC_EQUATORIAL_MICROTUBULE_ORGANIZING_CENTER	5		Rejected!	
GOCC_ER_MEMBRANE_INSERTION_COMPLEX	14		Rejected!	
GOCC_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE	64	45		
GOCC_ER_UBIQUITIN_LIGASE_COMPLEX	9		Rejected!	
GOCC_ESCRT_COMPLEX	28	28		
GOCC_ESCRT_I_COMPLEX	11		Rejected!	
GOCC_ESC_E_Z_COMPLEX	10		Rejected!	
GOCC_EUCHROMATIN	60	49		
GOCC_EUKARYOTIC_48S_PREINITIATION_COMPLEX	17	17		
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_2B_COMPLEX	5		Rejected!	
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_2_COMPLEX	5		Rejected!	
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX	15	15		
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX_EIF3M	7		Rejected!	
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_4F_COMPLEX	12		Rejected!	
GOCC_EXCITATORY_SYNAPSE	64	35		
GOCC_EXOCYST	14		Rejected!	
GOCC_EXOCYTIC_VESICLE	235	163		
GOCC_EXON_EXON_JUNCTION_COMPLEX	11		Rejected!	
GOCC_EXORIBONUCLEASE_COMPLEX	19	19		
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	564	294		
GOCC_EXTERNAL_SIDE_OF_APICAL_PLASMA_MEMBRANE	6		Rejected!	
GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	387	189		
GOCC_EXTRINSIC_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE	71	48		
GOCC_EXTRINSIC_COMPONENT_OF_ENDOSOME_MEMBRANE	5		Rejected!	
GOCC_EXTRINSIC_COMPONENT_OF_MEMBRANE	207	149		
GOCC_EXTRINSIC_COMPONENT_OF_MITOCHONDRIAL_INNER_MEMBRANE	7		Rejected!	
GOCC_EXTRINSIC_COMPONENT_OF_ORGANELLE_MEMBRANE	28	25		
GOCC_EXTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	126	83		
GOCC_EXTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE	8		Rejected!	
GOCC_EXTRINSIC_COMPONENT_OF_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	5		Rejected!	
GOCC_EXTRINSIC_COMPONENT_OF_PRESYNAPTIC_MEMBRANE	6		Rejected!	
GOCC_EXTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	14		Rejected!	
GOCC_EXTRINSIC_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE	11		Rejected!	
GOCC_FACIT_COLLAGEN_TRIMER	6		Rejected!	
GOCC_FANCONI_ANAEMIA_NUCLEAR_COMPLEX	13		Rejected!	
GOCC_FASCIA_ADHERENS	8		Rejected!	
GOCC_FC_RECEPTOR_COMPLEX	5		Rejected!	
GOCC_FEMALE_GERM_CELL_NUCLEUS	17		Rejected!	
GOCC_FEMALE_PRONUCLEUS	10		Rejected!	
GOCC_FHF_COMPLEX	5		Rejected!	
GOCC_FIBRILLAR_CENTER	150	138		
GOCC_FIBRILLAR_COLLAGEN_TRIMER	12		Rejected!	
GOCC_FIBRINOGEN_COMPLEX	8		Rejected!	
GOCC_FICOLIN_1_RICH_GRANULE	185	157		
GOCC_FICOLIN_1_RICH_GRANULE_LUMEN	124	113		
GOCC_FICOLIN_1_RICH_GRANULE_MEMBRANE	61	44		
GOCC_FILAMENTOUS_ACTIN	28	23		
GOCC_FILOPODIUM	108	83		
GOCC_FILOPODIUM_MEMBRANE	18		Rejected!	
GOCC_FILOPODIUM_TIP	19	16		
GOCC_FILTRATION_DIAPHRAGM	8		Rejected!	
GOCC_FLEMMING_BODY	35	35		
GOCC_FLOTILLIN_COMPLEX	9		Rejected!	
GOCC_F_ACTIN_CAPPING_PROTEIN_COMPLEX	8		Rejected!	
GOCC_GABA_ERGIC_SYNAPSE	79	32		
GOCC_GABA_RECEPTOR_COMPLEX	21		Rejected!	
GOCC_GAMMA_DELTA_T_CELL_RECEPTOR_COMPLEX	6		Rejected!	
GOCC_GAMMA_SECRETASE_COMPLEX	7		Rejected!	
GOCC_GAMMA_TUBULIN_COMPLEX	16	15		
GOCC_GAMMA_TUBULIN_RING_COMPLEX	7		Rejected!	
GOCC_GAP_JUNCTION	32	16		
GOCC_GATOR2_COMPLEX	5		Rejected!	
GOCC_GBAF_COMPLEX	14		Rejected!	
GOCC_GEMINI_OF_COILED_BODIES	12		Rejected!	
GOCC_GERM_CELL_NUCLEUS	68	51		
GOCC_GID_COMPLEX	5		Rejected!	
GOCC_GINS_COMPLEX	5		Rejected!	
GOCC_GLIAL_CELL_PROJECTION	37	20		
GOCC_GLUTAMATERGIC_SYNAPSE	408	280		
GOCC_GLYCINERGIC_SYNAPSE	8		Rejected!	
GOCC_GLYCOGEN_GRANULE	7		Rejected!	
GOCC_GLYCOPROTEIN_COMPLEX	23		Rejected!	
GOCC_GLYCOPROTEIN_IB_IX_V_COMPLEX	5		Rejected!	
GOCC_GLYCOSYLPHOSPHATIDYLINOSITOL_N_ACETYLGLUCOSAMINYLTRANSFERASE_GPI_GNT_COMPLEX	7		Rejected!	
GOCC_GOLGI_APPARATUS	1634		Rejected!	
GOCC_GOLGI_APPARATUS_SUBCOMPARTMENT	384	311		
GOCC_GOLGI_ASSOCIATED_VESICLE	94	79		
GOCC_GOLGI_ASSOCIATED_VESICLE_MEMBRANE	57	49		
GOCC_GOLGI_CISTERNA	118	92		
GOCC_GOLGI_CISTERNA_MEMBRANE	93	67		
GOCC_GOLGI_CIS_CISTERNA	31		Rejected!	
GOCC_GOLGI_LUMEN	105	57		
GOCC_GOLGI_MEDIAL_CISTERNA	12		Rejected!	
GOCC_GOLGI_MEMBRANE	672		Rejected!	
GOCC_GOLGI_STACK	151	120		
GOCC_GOLGI_TRANSPORT_COMPLEX	9		Rejected!	
GOCC_GOLGI_TRANS_CISTERNA	10		Rejected!	
GOCC_GPI_ANCHOR_TRANSAMIDASE_COMPLEX	5		Rejected!	
GOCC_GRANULAR_COMPONENT	7		Rejected!	
GOCC_GROWTH_CONE_MEMBRANE	8		Rejected!	
GOCC_GROWTH_FACTOR_COMPLEX	8		Rejected!	
GOCC_GTPASE_ACTIVATOR_COMPLEX	11		Rejected!	
GOCC_GTPASE_COMPLEX	41	28		
GOCC_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_COMPLEX	17	16		
GOCC_G_PROTEIN_COUPLED_RECEPTOR_COMPLEX	11		Rejected!	
GOCC_G_PROTEIN_COUPLED_RECEPTOR_DIMERIC_COMPLEX	7		Rejected!	
GOCC_H3_HISTONE_ACETYLTRANSFERASE_COMPLEX	8		Rejected!	
GOCC_H4_H2A_HISTONE_ACETYLTRANSFERASE_COMPLEX	31	28		
GOCC_H4_HISTONE_ACETYLTRANSFERASE_COMPLEX	45	42		
GOCC_HAPTOGLOBIN_HEMOGLOBIN_COMPLEX	11		Rejected!	
GOCC_HAUS_COMPLEX	8		Rejected!	
GOCC_HEMIDESMOSOME	8		Rejected!	
GOCC_HEMOGLOBIN_COMPLEX	12		Rejected!	
GOCC_HETEROCHROMATIN	79	76		
GOCC_HFE_TRANSFERRIN_RECEPTOR_COMPLEX	8		Rejected!	
GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE	26	19		
