SYMBOL	logFC_edgeR	PValue	logFC_limma	adj.P.Val	log2FoldChange_DESeq2	padj
AGGF1	0.231409762	0.000100309	0.232370353	0.014826621	0.225111187	0.000988318
AHNAK2	0.43742264	0.000566334	0.443836491	0.043559703	0.43172383	0.006923428
AIDA	0.211394478	0.000454984	0.212337476	0.030362291	0.205143692	0.005405773
AIM1	-0.351097279	1.36E-06	-0.348308776	0.003755692	-0.358041414	1.61E-05
AJUBA	-0.247384758	3.72E-05	-0.248377938	0.011781261	-0.253843051	0.000353415
AKR1B1	-0.31055501	2.79E-08	-0.310863632	0.000787025	-0.316693979	2.76E-07
AKR1B10	-0.66679585	2.39E-16	-0.660977989	1.73E-05	-0.673333621	4.68E-16
ALDH2	-0.249913535	8.16E-07	-0.249186719	0.002311919	-0.256124166	2.91E-06
ALDH3B1	-0.316763511	1.32E-08	-0.317304706	0.000787025	-0.323366356	2.46E-07
ALDH3B2	-0.247804191	0.000230638	-0.250198403	0.01933817	-0.2541236	0.002695361
ALPL	-0.495237292	6.09E-11	-0.498625142	0.000137246	-0.50177251	4.82E-10
ALPP	-0.504209786	0.00100197	-0.512855652	0.032936857	-0.51076954	0.013678874
AMFR	0.206652408	0.000702623	0.209512895	0.035595305	0.199884059	0.010366429
AMOTL1	-0.219263567	0.000646223	-0.219038486	0.041549122	-0.225959829	0.006038005
AMOTL2	-0.172689965	0.001110104	-0.173257494	0.031397861	-0.179122844	0.003783612
ANGPT4	-0.408329381	5.92E-11	-0.409494779	0.000274274	-0.414534956	4.77E-09
ANKRD50	0.510551072	1.53E-06	0.507285027	0.006371205	0.504367068	3.45E-05
ANKZF1	-0.187713641	0.000160486	-0.187864586	0.014599595	-0.194205973	0.000802228
ANXA6	-0.235745396	1.44E-05	-0.235246347	0.007170702	-0.242460919	0.000220971
ANXA8	-0.494677437	7.13E-12	-0.499421858	0.000168977	-0.501455817	1.12E-10
ANXA8L1	-0.38728002	1.51E-06	-0.388221115	0.002478304	-0.3938279	6.38E-06
AP1S1	-0.190290242	0.00042797	-0.190545359	0.026946352	-0.196922399	0.003463094
APBB1IP	-0.320921388	3.66E-06	-0.317839416	0.006684289	-0.327551233	0.000106705
APOL1	-0.321809742	1.32E-05	-0.319692628	0.006526739	-0.328619096	0.000196094
ARHGAP10	-0.235863412	6.58E-06	-0.23594582	0.005244307	-0.242247864	6.06E-05
ARHGEF10	-0.848332997	3.14E-06	-0.80828404	0.01933817	-0.855539306	2.34E-05
ARHGEF33	-0.49542111	7.26E-07	-0.497654797	0.00195792	-0.502166261	5.26E-06
ARHGEF34P	-0.292309772	9.27E-06	-0.291550745	0.006460571	-0.298980197	0.000250245
ARL6IP5	-0.200394755	2.59E-05	-0.200171693	0.006755703	-0.206967215	3.14E-05
ARPC4	-0.1907739	0.001219857	-0.19122038	0.047937809	-0.197332081	0.012498454
ASPHD2	-0.425648082	0.000140118	-0.419110215	0.01933817	-0.432177618	0.001542018
ATF3	-0.210481854	0.000733318	-0.209969546	0.041549122	-0.216725188	0.007706706
ATG16L2	0.424331154	4.12E-05	0.405321028	0.023242727	0.417655321	0.000634549
ATP1A1	-0.212676882	4.47E-05	-0.212495382	0.006939566	-0.219301453	0.000314739
ATP7B	-0.170550274	0.000597016	-0.170651032	0.022635796	-0.177222209	0.002622777
AVPI1	-0.309468757	8.91E-06	-0.307466874	0.005794211	-0.31589986	6.70E-05
AXIN2	-0.224359487	2.82E-05	-0.223724951	0.008858851	-0.231123318	0.000406083
B4GALT5	-0.224306777	1.29E-05	-0.22373105	0.006266136	-0.231064277	0.000153163
BARX2	-0.380808099	0.001892492	-0.37238533	0.045568856	-0.388003225	0.015128691
BASP1	-0.215495877	7.41E-05	-0.217821101	0.010915702	-0.222001076	0.000832326
BBS10	0.340900643	0.000164015	0.344498227	0.022780703	0.334711722	0.001537418
BBS7	0.356272121	0.000124901	0.35873526	0.018388491	0.35023232	0.001468262
BCAP31	-0.180744273	0.00107876	-0.180910191	0.041549122	-0.18723645	0.009939641
BCAR3	-0.228675735	7.26E-06	-0.227984252	0.005312043	-0.235191969	3.75E-05
BCAT1	-0.216360921	0.000118797	-0.216947497	0.016686189	-0.222961764	0.000523188
BCL2L1	-0.254881049	1.35E-06	-0.257332102	0.002754969	-0.261407465	1.57E-05
BEX3	-0.233744775	0.000276244	-0.233106964	0.029983238	-0.240599548	0.004532611
BHLHE40	-0.212791705	0.001135849	-0.215308717	0.047163422	-0.219500826	0.010071342
BHLHE41	-0.280277922	2.69E-05	-0.279450192	0.011704067	-0.286536505	0.00027987
BIRC7	-0.57991048	4.39E-05	-0.597726021	0.007752213	-0.586205582	0.000358826
BLCAP	-0.264926632	7.68E-06	-0.264411436	0.006892001	-0.271736108	0.000236084
BMP2K	0.280313064	0.00092041	0.282357235	0.047860668	0.27369672	0.010555304
BTBD16	-0.337639646	1.76E-05	-0.333667379	0.008400972	-0.344218366	0.000147571
C14orf80	0.318370959	0.000420166	0.306085121	0.04306952	0.311901294	0.005869968
C18orf54	0.248085869	0.000314875	0.248655779	0.021423298	0.241468765	0.003188921
C1orf198	-0.22896794	3.25E-06	-0.229621505	0.003352051	-0.235422553	1.20E-05
C1orf21	-0.216076106	6.34E-05	-0.215865588	0.012078867	-0.222542665	0.00041334
C2CD5	0.271932445	6.62E-05	0.27145109	0.019326339	0.265382449	0.001129309
C3	-0.377512297	0.000256879	-0.39226912	0.017336771	-0.383947757	0.002064364
C3orf52	-0.323252583	8.99E-09	-0.321993007	0.00065772	-0.330092654	2.50E-07
C4orf33	0.406749379	0.000131218	0.414118537	0.023811578	0.400527891	0.001393354
C6orf141	-0.291256238	0.000983138	-0.295755959	0.027203074	-0.29775862	0.00583676
C7orf50	0.197249468	0.000734178	0.197328862	0.042522136	0.190560454	0.016310333
CA2	-0.344010546	4.11E-05	-0.341757428	0.013986159	-0.350390825	0.000381249
CACNA1D	-0.544008491	0.000293307	-0.530636435	0.020645638	-0.551084841	0.003289338
CACNA1S	-0.405149468	3.83E-07	-0.413061012	0.001587403	-0.411692022	3.05E-06
CALB2	-0.450952071	6.01E-08	-0.443568016	0.001761726	-0.458274431	3.31E-06
CALHM2	-0.282801142	0.000112947	-0.281950823	0.016125737	-0.289516538	0.002077058
CAPN5	0.454418777	4.93E-07	0.45982338	0.002828163	0.447789077	1.51E-05
CARMIL2	-0.301615697	2.67E-05	-0.30893681	0.006465404	-0.308350428	0.000156229
CASC10	-0.239175851	7.17E-05	-0.240473837	0.010338853	-0.245669054	0.00041457
CASC4	0.234980758	9.06E-05	0.235839227	0.017771241	0.228224397	0.002265687
CASP14	-0.831472599	4.19E-25	-0.830661604	4.13E-06	-0.838146133	1.83E-22
CASQ1	-0.328716679	2.50E-07	-0.325491048	0.00188081	-0.335513596	3.81E-06
CBLC	-0.227685518	0.000322333	-0.228281002	0.022733853	-0.234209167	0.001942497
CCDC113	-0.405962888	1.74E-11	-0.405262958	0.000181544	-0.412802837	9.82E-10
CCDC121	0.463687699	0.000142525	0.471416046	0.024917452	0.457564765	0.00153471
CCDC14	0.234336716	0.000293999	0.234695742	0.03080141	0.227877096	0.003377404
CCDC141	-0.412935745	2.46E-05	-0.411081489	0.009867849	-0.419471319	0.00022031
CCDC153	0.480872624	0.001261671	0.491872323	0.04599611	0.475217365	0.015874837
CCDC80	-0.385214326	9.11E-06	-0.381300765	0.005097162	-0.391790273	5.93E-05
CCL28	-0.550212357	0.000497676	-0.581446714	0.020586276	-0.556987963	0.003917772
CCND1	-0.266027406	0.00023768	-0.273212905	0.024956856	-0.271876785	0.002827242
CCNYL1	0.261848774	6.35E-06	0.260996069	0.006066528	0.255351281	0.000121767
CCPG1	0.394672601	6.66E-06	0.39806195	0.010440654	0.388334622	0.000141644
CD55	-0.186621855	0.00025493	-0.185884354	0.015714814	-0.193213039	0.001002373
CD68	-0.444665646	0.000459992	-0.449771123	0.020339095	-0.451376527	0.00831171
CD9	-0.166378229	0.001710719	-0.165904351	0.049623518	-0.173064506	0.013584629
CDC42EP1	-0.332491706	0.00027609	-0.335723298	0.018603059	-0.338589802	0.002470856
CDC7	0.290430002	0.000764572	0.292745533	0.046924383	0.284178197	0.007809611
CDH5	-0.310465141	1.78E-08	-0.309710663	0.000815668	-0.317227961	7.99E-07
CDK14	-0.247922669	4.64E-06	-0.247234596	0.00413951	-0.2543407	1.29E-05
CDK2	-0.188190815	0.000131886	-0.188033007	0.012929739	-0.194790003	0.00027987
CDYL	-0.184993562	0.001061823	-0.183473843	0.043453889	-0.191446525	0.00649508
CDYL2	-0.287384604	4.34E-07	-0.287106355	0.002299963	-0.29390147	2.62E-06
CEBPD	-0.484089666	4.79E-11	-0.490366399	0.000301317	-0.490248569	2.70E-09
CELSR3	0.397885682	0.000923946	0.405158222	0.043788229	0.390901176	0.011158256
CEP170B	0.220857395	0.000172176	0.218520908	0.024362138	0.214395007	0.003279579
CEP55	0.320425261	5.46E-05	0.323465323	0.010561544	0.314208575	0.000630438
CEP85	-0.167790889	0.00046928	-0.16719928	0.020586276	-0.174335143	0.000988318
CERS5	-0.204314495	3.66E-05	-0.204066323	0.008400972	-0.211009398	0.00021016
CHD3	-0.184411932	0.000397812	-0.184168379	0.024532747	-0.190983061	0.003450136
CHRNA5	0.590738681	0.000145163	0.581014625	0.034947921	0.58467812	0.00322626
CHSY1	-0.183758789	0.000998673	-0.182550597	0.043295523	-0.190449037	0.009416897
CITED2	-0.272822619	1.10E-05	-0.273891705	0.007482794	-0.279241525	0.000257762
CKAP4	-0.22600019	0.00013334	-0.227587877	0.017514353	-0.232571502	0.001523688
CLCN3	0.22577986	0.000317702	0.225633987	0.030844321	0.219227236	0.004835343
CLDN19	-0.543369076	6.67E-07	-0.527617569	0.004603985	-0.550901489	1.13E-05
CLDN4	0.245225408	3.11E-05	0.243007601	0.010026802	0.238914475	0.00088708
CLEC1A	-0.388406327	2.93E-06	-0.385443255	0.005312043	-0.39528257	6.74E-05
CLIC3	-0.355356618	9.63E-07	-0.354580819	0.004150501	-0.361494984	2.37E-05
CLSTN3	-0.16589732	0.001599252	-0.166856308	0.046945138	-0.172465275	0.012587791
CLU	-0.405334918	7.30E-07	-0.403432914	0.003780269	-0.412195817	3.75E-05
CMIP	-0.25153185	3.97E-05	-0.250795723	0.012502428	-0.258233049	0.000819431
CNDP2	-0.151961149	0.002377951	-0.151674969	0.044521078	-0.158604556	0.010555304
CNGB1	0.34437338	0.000211567	0.340472563	0.027118457	0.33785353	0.002858538
CNKSR3	0.62378001	0.00050355	0.628694375	0.047937809	0.618003886	0.012476685
CNTRL	-0.247960139	0.000291991	-0.246692696	0.030005505	-0.25479329	0.004037635
COL16A1	-0.360132516	1.74E-08	-0.364363608	0.000980759	-0.36660617	2.07E-07
COL17A1	-0.417808041	1.40E-13	-0.416436199	8.97E-05	-0.424818695	4.18E-12
COL6A3	-0.281811725	8.54E-05	-0.280799795	0.018322989	-0.288965016	0.001121761
COL9A2	-0.527458096	7.43E-11	-0.533265466	0.000154039	-0.534212379	3.12E-10
COLQ	-0.391431212	2.85E-08	-0.390051919	0.000587451	-0.397986242	1.00E-07
COQ5	0.17521069	0.001636867	0.176354388	0.049397019	0.168595818	0.01985902
CORO1C	-0.170184355	0.001371118	-0.170878071	0.041549122	-0.176874634	0.008501993
COTL1	-0.224488923	0.000297198	-0.223780201	0.026582602	-0.231069571	0.004578282
CPD	0.298167867	9.35E-06	0.29972672	0.009776484	0.291437756	0.000327323
CREB3L2	-0.231528841	4.63E-05	-0.230476107	0.01204177	-0.238396463	0.000615616
CREM	-0.251659193	0.001018087	-0.246945262	0.038079095	-0.258317483	0.006415842
CRISPLD2	-0.245484671	4.80E-05	-0.243334694	0.013358379	-0.251953151	0.00087672
CRYAB	-0.556478634	0.000365705	-0.56294583	0.020339095	-0.563294934	0.005006047
CSF1	-0.471105936	0.000539686	-0.476936877	0.023858559	-0.478068337	0.004800895
CSF2RB	-0.47243242	7.32E-08	-0.472716174	0.000925048	-0.479182402	7.10E-07
CSH2	-0.456785518	0.0014221	-0.455573852	0.043181165	-0.463907909	0.0112134
CSRNP1	-0.258147671	4.16E-06	-0.257373384	0.004603985	-0.264778396	5.93E-05
CTB-25B13.12	0.365347995	0.000629707	0.35834756	0.043453889	0.358352307	0.009045649
CTC-501O10.1	-0.659345312	0.000342046	-0.651154313	0.027114243	-0.666743801	0.00424051
CTD-2008P7.9	-0.495829831	0.000291776	-0.488165892	0.020416997	-0.502994309	0.005893835
CTD-2535L24.2	-0.3024501	3.29E-05	-0.30048408	0.012799629	-0.309368919	0.000690994
CTNNA1	-0.161056039	0.001695926	-0.160354026	0.041728212	-0.167664533	0.00630999
CYB5R1	-0.209293376	0.000497714	-0.212370051	0.031854853	-0.215300512	0.005939028
CYCS	0.216676839	0.000945863	0.219161057	0.049008469	0.210514431	0.009800226
CYP11A1	-0.297267964	4.24E-08	-0.297579619	0.001102407	-0.303808197	1.36E-06
CYP1A1	-0.54075355	1.40E-07	-0.54308166	0.000925048	-0.546960494	1.29E-06
CYP20A1	0.32619329	5.97E-05	0.326544884	0.012344246	0.319859428	0.000692113
CYP4F22	-0.562924388	0.000361374	-0.536881193	0.023247704	-0.570441509	0.003309672
CYR61	-0.451940747	2.42E-08	-0.452305136	0.001645191	-0.457694498	2.69E-07
DAP	-0.198098968	0.000166627	-0.198675266	0.016637506	-0.204456128	0.001171824
DAPK3	-0.216997595	0.000881192	-0.217359006	0.044521078	-0.222949994	0.007809611
DDA1	-0.192240311	0.001112861	-0.193656077	0.043514965	-0.198778833	0.012587791
DDB1	-0.243626903	1.28E-05	-0.243179464	0.005095474	-0.250640089	0.000135167
DDX41	-0.15797761	0.001815968	-0.157717375	0.046945138	-0.164487327	0.01018164
DENND1A	-0.234504246	8.55E-06	-0.234695343	0.005604485	-0.240863911	6.84E-05
DENND5A	-0.181863285	0.000340686	-0.181335658	0.022302895	-0.188368453	0.001542018
DFFB	-0.273863663	0.001977898	-0.271742046	0.043033129	-0.280663452	0.0148049
DGKD	-0.293293083	4.64E-06	-0.296491347	0.005435285	-0.299472253	6.85E-05
DHRS3	-0.416720824	2.23E-06	-0.416189522	0.004419633	-0.423187941	4.76E-05
DHX29	0.275884068	0.00031501	0.275812331	0.036422678	0.269264423	0.004741724
DIRC2	-0.176285003	0.00078698	-0.175573254	0.036167029	-0.182854835	0.004989299
DLX5	-0.292750559	2.14E-07	-0.290840233	0.002038849	-0.299629367	6.87E-06
DNAJC24	0.279901839	0.001034931	0.280757039	0.044362702	0.273588579	0.008241432
DNAJC6	-0.279321205	4.59E-06	-0.278478485	0.005312043	-0.285768202	3.07E-05
DNMT1	-0.229200453	0.000116291	-0.229454029	0.016802122	-0.235773373	0.001225246
DNMT3L	-0.191552702	0.001105019	-0.193442209	0.043559703	-0.197975522	0.012427474
DPEP1	-0.416214495	4.10E-10	-0.417546423	0.000496388	-0.422465421	9.20E-09
DPF3	-0.253297922	5.91E-05	-0.251280092	0.009869746	-0.259987191	0.00046758
DPP7	-0.467600248	1.00E-08	-0.471039767	0.001334791	-0.473365772	2.28E-07
DPY19L1	0.286852968	0.001196064	0.290975028	0.04253738	0.280602215	0.011391805
DSE	-0.257464409	2.85E-05	-0.255619704	0.009390923	-0.264059511	0.00024194
DUSP16	-0.202299949	0.002351177	-0.199998802	0.049563948	-0.208685144	0.011587686
DUSP4	-0.697618552	1.67E-16	-0.693119212	1.73E-05	-0.704537014	1.72E-15
DUSP7	-0.307112962	0.000242546	-0.304399154	0.032869597	-0.31430155	0.003759273
DUSP9	-0.308158817	3.95E-05	-0.306691785	0.010243271	-0.314995506	0.000630438
DYX1C1-CCPG1	0.373795063	7.21E-05	0.377889606	0.022628758	0.367611668	0.000988318
EAF1	-0.19521029	0.000145035	-0.194666229	0.015178541	-0.201538228	0.000443704
ECM1	-0.37801132	3.01E-05	-0.376332773	0.006500283	-0.38481729	0.000312043
ECM2	-0.655911155	4.21E-05	-0.659930442	0.010026802	-0.662696779	0.00078002
EDEM2	-0.276634143	2.14E-06	-0.277852614	0.004127542	-0.282882011	4.68E-05
EDN2	-0.678238982	9.17E-06	-0.6917212	0.001961527	-0.685242278	0.000188609
EFR3A	0.356207022	4.06E-06	0.363714186	0.006771899	0.349259647	0.000159355
EIF3B	-0.19205191	0.000111998	-0.19189637	0.010482491	-0.198353503	0.00042636
EIF4H	-0.161859366	0.001574248	-0.161248198	0.039489395	-0.168496725	0.01018164
ELF4	-0.163600335	0.001338473	-0.163063431	0.043033129	-0.170355054	0.01018164
ELMSAN1	-0.162642876	0.001406818	-0.162417974	0.043295523	-0.169106324	0.004590905
ELOVL5	0.202485717	0.00013473	0.202610908	0.016977345	0.196028225	0.001347372
ELP4	0.278509476	0.00102348	0.279186819	0.043033129	0.272116007	0.010555304
EMILIN2	-0.204163982	0.000615657	-0.20601575	0.035890974	-0.210199447	0.004800895
ENDOD1	0.235734265	0.001279062	0.241053522	0.046309647	0.228915923	0.014996633
ENDOU	-0.610476552	0.002173453	-0.633462887	0.035334623	-0.617366467	0.019955376
EPAS1	-0.234849937	4.63E-05	-0.234894227	0.010514037	-0.241201771	0.000489606
EPB41L3	0.176497789	0.001589681	0.176801534	0.048374237	0.170137654	0.014102269
EPHA2	-0.890443518	1.20E-08	-0.885993417	0.000424785	-0.897867811	1.15E-06
EPS8L1	-0.275581918	6.46E-06	-0.277406224	0.006131894	-0.281684367	9.06E-05
ERRFI1	-0.192957273	0.001036687	-0.191765007	0.041549122	-0.199290634	0.00583676
ETAA1	0.317259706	3.49E-05	0.320779296	0.008683663	0.31087618	0.00039669
ETS2	-0.358936502	1.73E-11	-0.358500571	0.000168977	-0.365814551	3.47E-10
ETV4	-0.527219306	9.14E-13	-0.526838114	4.39E-05	-0.533830279	1.92E-12
ETV5	-0.52695301	0.002220769	-0.538243613	0.03776183	-0.533380282	0.021729901
EXOSC5	-0.170636912	0.001230235	-0.171284955	0.040583049	-0.177190324	0.007410292
EXT2	0.170460007	0.000914406	0.171019673	0.036140959	0.163888376	0.009032948
FAM110A	-0.271609851	2.66E-05	-0.273206337	0.008372809	-0.278125852	0.000352035
FAM129B	-0.184543054	0.000998617	-0.184514574	0.042202499	-0.190895786	0.010240653
FAM160B2	-0.21547279	0.000367385	-0.219189993	0.024917452	-0.221935788	0.002759723
FAM210B	0.204396437	0.000337128	0.203755489	0.028327803	0.197757415	0.009225875
FAM234A	0.221435688	1.84E-05	0.220997612	0.008372809	0.214876805	0.000409502
FAM43A	-0.265456067	7.36E-05	-0.268483877	0.013734592	-0.272034886	0.001542018
FAM47E-STBD1	-0.310126395	2.72E-07	-0.310230204	0.002229922	-0.316719848	5.54E-06
FAM83G	-0.205185291	0.000128442	-0.205183706	0.015690329	-0.21181542	0.001148426
FAM83H-AS1	-0.543294942	0.000190575	-0.533794567	0.029192116	-0.55060413	0.001785852
FAM89A	-0.351985344	4.15E-12	-0.352155797	0.000118623	-0.358628671	4.29E-12
FANCE	-0.168397393	0.001554983	-0.167863055	0.049623518	-0.175090044	0.014359728
FAXDC2	0.357373225	0.000104117	0.355309297	0.018987836	0.350729708	0.002077058
FBLIM1	-0.262426117	0.00161478	-0.258455885	0.048998013	-0.268865481	0.009823269
FBXO41	-0.200360592	0.001570655	-0.200083558	0.046620948	-0.206811026	0.008367471
FBXO5	0.258476531	0.000352662	0.259102435	0.021655259	0.252135746	0.002805263
FER1L4	-0.379853399	1.10E-08	-0.382749573	0.001043387	-0.386181716	1.59E-07
FGD3	-0.512932578	8.59E-16	-0.511863886	1.73E-05	-0.519501248	4.60E-16
FGFR1	-0.187400532	0.000223899	-0.187041031	0.013986159	-0.194143237	0.001606693
FGFR2	-0.191627695	0.000356031	-0.191295486	0.025022348	-0.1981154	0.001910663
FHDC1	-0.258267252	5.86E-05	-0.259316009	0.012740631	-0.264772269	0.000429108
FHL2	-0.198591179	0.000462373	-0.197436666	0.031152615	-0.205216729	0.003421671
FJX1	-0.318406245	0.000528141	-0.317479036	0.021577778	-0.32505787	0.004193963
FLNA	-0.209139329	6.73E-05	-0.208834942	0.008400972	-0.215765756	0.000400714
FLOT2	-0.23681515	1.32E-05	-0.236303281	0.006755703	-0.243560924	0.000257762
FNBP1	0.207601405	0.000429584	0.208323213	0.027480425	0.201216269	0.004578282
FOSL2	-0.331060492	3.89E-09	-0.331271361	0.00047358	-0.33769151	7.64E-08
FOXO1	-0.367876241	6.23E-09	-0.368230063	0.000776426	-0.37446612	2.71E-07
FPGT	0.362300323	0.000177368	0.3642857	0.031397861	0.355760297	0.001934513
FRMD4A	-0.265792911	2.70E-05	-0.263334606	0.011287865	-0.272830862	0.000749304
FXYD3	-0.283559089	1.52E-05	-0.281613377	0.007166381	-0.290145993	9.45E-05
FYTTD1	0.352976625	7.44E-07	0.354083345	0.003141661	0.346549916	9.32E-06
FZD1	0.360596881	0.000445769	0.364496065	0.034344125	0.354571154	0.00550518
FZD3	0.31406997	0.000341394	0.316926712	0.025783315	0.307526518	0.00379533
FZD5	-0.190339652	0.000297324	-0.190013142	0.018037137	-0.197092693	0.001542018
GAB2	-0.369610369	3.91E-13	-0.369429789	7.84E-05	-0.376180645	5.86E-13
GABARAPL1	-0.282916355	1.18E-06	-0.281656241	0.002965331	-0.289586436	1.42E-05
GADD45A	-0.203946232	0.000712519	-0.202257171	0.043295523	-0.210029836	0.003917772
GALNT1	0.300666325	4.87E-05	0.300349591	0.01933817	0.294219418	0.000768099
GALNT10	0.277009876	0.000403749	0.279838862	0.022628758	0.270616497	0.004458415
GALNT7	0.215256739	0.000438016	0.21567397	0.032383879	0.208619406	0.005572324
GAREM1	-0.294300397	0.000110866	-0.294408658	0.014037106	-0.300782542	0.000809143
GAS7	-0.385207653	1.30E-05	-0.381677442	0.00427186	-0.39174805	0.000125393
GATA2	-0.212933285	5.19E-05	-0.213838214	0.007304518	-0.219495033	0.000281437
GATA3	-0.184904768	0.001108713	-0.185205272	0.036422678	-0.191627024	0.010276767
GBP2	-0.450846554	1.30E-08	-0.449219288	0.00065772	-0.457353428	7.64E-08
GCH1	-0.321088062	7.44E-10	-0.32038569	0.00030726	-0.327482515	1.06E-09
GCN1	-0.148653714	0.002721111	-0.148385226	0.043295523	-0.155240623	0.009032948
GCNT1	-0.207055955	0.00027879	-0.206075786	0.024917452	-0.213777529	0.002168097
GDF15	-0.349633071	1.20E-07	-0.349518047	0.002038849	-0.356148205	4.55E-06
GDPD2	-0.538654931	4.25E-07	-0.531767837	0.002229922	-0.545479111	5.54E-06
GEN1	0.218592047	0.001347012	0.218479402	0.044747077	0.211970772	0.012339236
GFOD2	-0.177928942	0.001969167	-0.178932912	0.043453889	-0.184645715	0.009032948
GGA2	-0.141751407	0.00244912	-0.141858298	0.048465107	-0.148253361	0.004555638
GH2	-0.405645506	1.56E-10	-0.407444759	0.000207712	-0.41228931	7.75E-09
GJA5	-0.43539294	0.000231214	-0.427180405	0.030021126	-0.442584042	0.002064364
GLB1L2	-0.382563503	1.21E-08	-0.379388913	0.000624946	-0.38933538	1.43E-07
GLI3	-0.289136227	2.11E-05	-0.28530992	0.010338853	-0.2960859	0.000353415
GMEB1	-0.228993464	0.00041987	-0.228901987	0.022257394	-0.235454603	0.003297211
GMEB2	-0.20805263	0.000207982	-0.209144596	0.016686189	-0.214607639	0.001310816
GOLGA2	-0.204613769	0.00030495	-0.20421009	0.024917452	-0.211012051	0.002556241
GPR180	0.356823664	6.23E-05	0.356917597	0.013017929	0.350424189	0.000949789
GPRC5A	-0.576327453	2.34E-07	-0.588999032	0.001405055	-0.581882772	0.001812793
GPRC5B	-0.296021736	0.00020488	-0.298028103	0.014960152	-0.30289217	0.001317421
GRAMD1B	-0.350185944	1.11E-06	-0.349136721	0.002533537	-0.357057103	3.14E-05
GRB10	-0.211645102	4.20E-05	-0.21049059	0.010026802	-0.218096407	0.000220603
GRIK4	-0.655973064	5.37E-10	-0.6483558	0.000181544	-0.663158593	7.75E-09
GRM4	-0.30993469	1.22E-08	-0.311110806	0.000787284	-0.316381376	1.59E-07
GUCA2A	-0.665990526	3.10E-07	-0.661762041	0.001043387	-0.672932662	3.80E-06
GYG2	-0.218796078	1.62E-05	-0.219223627	0.006578822	-0.225197046	5.93E-05
GYS1	-0.185922722	0.000391505	-0.185519273	0.025059367	-0.19245538	0.00309485
HAPLN3	-0.325854281	2.15E-07	-0.324819693	0.002311919	-0.33259458	1.07E-05
HAS3	-0.708851176	4.88E-07	-0.699113785	0.001837899	-0.71564364	6.02E-06
HAVCR1	-0.478475329	8.93E-18	-0.478401769	1.73E-05	-0.485312839	1.10E-16
HDGF	-0.231212376	2.70E-05	-0.230984796	0.007166381	-0.237934397	0.000403412
HDHD2	0.277252848	0.000980317	0.278982096	0.045687681	0.271007954	0.008642056
HERC3	-0.252322311	0.000335074	-0.250359439	0.031397861	-0.258874483	0.003571202
HES1	-0.52685574	9.82E-06	-0.525186197	0.004330264	-0.533710543	0.000205969
HEY1	-0.298753326	2.77E-07	-0.29846545	0.002225681	-0.30523642	3.13E-06
HK2	-0.244332277	0.000663114	-0.243676554	0.041549122	-0.250792335	0.006043658
HMGB3	-0.364111434	1.45E-11	-0.363467488	0.000168977	-0.370508903	2.00E-10
HMGN4	0.235284799	0.000471281	0.237476753	0.034409942	0.229158062	0.004421521
HN1L	-0.16699901	0.000631805	-0.166814105	0.025666512	-0.173561404	0.002941105
HNRNPA1P48	-0.192591278	0.001262189	-0.193464683	0.048943444	-0.199078905	0.015038087
HPDL	-0.239120607	0.002002136	-0.246402101	0.043295523	-0.245715217	0.010372375
HSPA2	-0.220385318	0.000229068	-0.220624255	0.024490126	-0.226954461	0.003581111
