	logFC	logCPM	PValue	FDR	Pval_threshold	FC1.2_threshold	FC1.5_threshold
IL2RB	-0.518796186	4.617220251	1.08E-10	5.69E-08	TRUE	FALSE	FALSE
GH2	-0.405645506	5.000362267	1.56E-10	7.99E-08	TRUE	FALSE	FALSE
WLS	-0.319221054	8.130803749	1.75E-10	8.76E-08	TRUE	FALSE	FALSE
SLC2A10	-0.316293699	7.846982653	2.22E-10	1.09E-07	TRUE	FALSE	FALSE
RP11-40A7.2	-0.448395641	4.44979718	2.93E-10	1.40E-07	TRUE	FALSE	FALSE
SLC41A1	-0.352755018	5.752423091	3.09E-10	1.44E-07	TRUE	FALSE	FALSE
DPEP1	-0.416214495	6.694049438	4.10E-10	1.88E-07	TRUE	FALSE	FALSE
ISM2	-0.363287157	8.743640665	4.86E-10	2.18E-07	TRUE	FALSE	FALSE
GRIK4	-0.655973064	2.434768396	5.37E-10	2.36E-07	TRUE	FALSE	FALSE
GCH1	-0.321088062	5.713069438	7.44E-10	3.20E-07	TRUE	FALSE	FALSE
PRPF31	-1.147706765	2.27171978	1.10E-09	4.66E-07	TRUE	FALSE	FALSE
SAA1	-0.786251744	2.27553682	1.22E-09	5.02E-07	TRUE	FALSE	FALSE
PTGFRN	-0.376998242	5.561194052	1.26E-09	5.11E-07	TRUE	FALSE	FALSE
ACKR3	-0.4190369	4.495638089	1.31E-09	5.20E-07	TRUE	FALSE	FALSE
MYADM	-0.336329289	6.474150787	1.88E-09	7.21E-07	TRUE	FALSE	FALSE
NOCT	-0.350026779	7.338684568	1.88E-09	7.21E-07	TRUE	FALSE	FALSE
OLFML1	-0.409188285	4.462606809	2.10E-09	7.90E-07	TRUE	FALSE	FALSE
PLCD4	-0.496113006	3.537834057	3.35E-09	1.24E-06	TRUE	FALSE	FALSE
FOSL2	-0.331060492	9.327180548	3.89E-09	1.41E-06	TRUE	FALSE	FALSE
STAB2	-0.365050972	5.132438943	4.15E-09	1.48E-06	TRUE	FALSE	FALSE
P2RY2	-0.553768244	3.809866316	4.21E-09	1.48E-06	TRUE	FALSE	FALSE
VPS37C	-0.296081899	6.101277092	5.56E-09	1.92E-06	TRUE	FALSE	FALSE
IL6	-0.99385651	1.316482713	5.94E-09	2.02E-06	TRUE	FALSE	FALSE
FOXO1	-0.367876241	5.449837768	6.23E-09	2.08E-06	TRUE	FALSE	FALSE
KCNS1	-0.506386106	3.043148187	7.68E-09	2.53E-06	TRUE	FALSE	FALSE
ADAM19	-0.463257771	4.43224557	8.05E-09	2.61E-06	TRUE	FALSE	FALSE
C3orf52	-0.323252583	5.303449434	8.99E-09	2.87E-06	TRUE	FALSE	FALSE
DPP7	-0.467600248	5.655539108	1.00E-08	3.16E-06	TRUE	FALSE	FALSE
FER1L4	-0.379853399	6.203578595	1.10E-08	3.42E-06	TRUE	FALSE	FALSE
EPHA2	-0.890443518	0.863110096	1.20E-08	3.62E-06	TRUE	FALSE	FALSE
GLB1L2	-0.382563503	4.321855644	1.21E-08	3.62E-06	TRUE	FALSE	FALSE
GRM4	-0.30993469	6.442739641	1.22E-08	3.62E-06	TRUE	FALSE	FALSE
GBP2	-0.450846554	4.021792218	1.30E-08	3.80E-06	TRUE	FALSE	FALSE
ALDH3B1	-0.316763511	5.761231411	1.32E-08	3.82E-06	TRUE	FALSE	FALSE
MAFF	-0.433215291	3.732357031	1.34E-08	3.83E-06	TRUE	FALSE	FALSE
TMEM52B	-0.895902111	0.747621138	1.40E-08	3.94E-06	TRUE	FALSE	FALSE
3-Sep	-0.341836279	6.152395386	1.55E-08	4.29E-06	TRUE	FALSE	FALSE
COL16A1	-0.360132516	5.488671779	1.74E-08	4.76E-06	TRUE	FALSE	FALSE
CDH5	-0.310465141	8.194703079	1.78E-08	4.81E-06	TRUE	FALSE	FALSE
PLEKHA6	-0.315103544	6.776286248	2.21E-08	5.89E-06	TRUE	FALSE	FALSE
CYR61	-0.451940747	5.018043835	2.42E-08	6.36E-06	TRUE	FALSE	FALSE
ZFP36L2	-0.482408256	3.335664659	2.60E-08	6.77E-06	TRUE	FALSE	FALSE
AKR1B1	-0.31055501	9.393283385	2.79E-08	7.17E-06	TRUE	FALSE	FALSE
COLQ	-0.391431212	4.106858448	2.85E-08	7.23E-06	TRUE	FALSE	FALSE
MYBPC2	-0.608871646	2.514183256	2.90E-08	7.28E-06	TRUE	FALSE	FALSE
TNFSF10	-0.323582498	7.580816634	3.22E-08	7.97E-06	TRUE	FALSE	FALSE
NFATC2	-0.396556461	4.845742412	3.99E-08	9.78E-06	TRUE	FALSE	FALSE
CYP11A1	-0.297267964	7.31995347	4.24E-08	1.03E-05	TRUE	FALSE	FALSE
PITPNC1	-0.405982117	4.666551856	4.76E-08	1.14E-05	TRUE	FALSE	FALSE
TMEM106B	0.319529857	5.464181822	4.94E-08	1.17E-05	TRUE	FALSE	FALSE
PALM2-AKAP2	-0.392309438	6.927953243	5.51E-08	1.29E-05	TRUE	FALSE	FALSE
LCN9	0.483790585	5.903262757	5.94E-08	1.37E-05	TRUE	FALSE	FALSE
CALB2	-0.450952071	4.739737497	6.01E-08	1.38E-05	TRUE	FALSE	FALSE
STBD1	-0.316308079	6.308157302	6.10E-08	1.38E-05	TRUE	FALSE	FALSE
CSF2RB	-0.47243242	3.368771183	7.32E-08	1.64E-05	TRUE	FALSE	FALSE
TOMM34	-0.309163734	6.560143935	8.06E-08	1.79E-05	TRUE	FALSE	FALSE
PNKD	-0.309662906	7.083290425	1.02E-07	2.25E-05	TRUE	FALSE	FALSE
WNT7A	-0.293634197	5.972273245	1.17E-07	2.54E-05	TRUE	FALSE	FALSE
GDF15	-0.349633071	7.422610321	1.20E-07	2.57E-05	TRUE	FALSE	FALSE
CYP1A1	-0.54075355	3.404607387	1.40E-07	2.99E-05	TRUE	FALSE	FALSE
SCHIP1	-0.364328519	4.51044214	1.52E-07	3.20E-05	TRUE	FALSE	FALSE
NTN1	-0.280575918	6.668932608	1.53E-07	3.20E-05	TRUE	FALSE	FALSE
KRT7	-0.268631546	7.602216537	1.76E-07	3.63E-05	TRUE	FALSE	FALSE
ZNF532	-0.389971279	4.436553989	1.84E-07	3.77E-05	TRUE	FALSE	FALSE
MYL3	-0.510994978	2.691977985	1.92E-07	3.88E-05	TRUE	FALSE	FALSE
NOL4L	-0.380160591	5.0381093	2.01E-07	4.03E-05	TRUE	FALSE	FALSE
BTBD11	2.000945955	-1.296225079	2.12E-07	4.19E-05	TRUE	TRUE	TRUE
DLX5	-0.292750559	6.070234939	2.14E-07	4.19E-05	TRUE	FALSE	FALSE
HAPLN3	-0.325854281	6.966322458	2.15E-07	4.19E-05	TRUE	FALSE	FALSE
MAP3K3	0.337083579	4.348371762	2.23E-07	4.31E-05	TRUE	FALSE	FALSE
GPRC5A	-0.576327453	4.25621908	2.34E-07	4.48E-05	TRUE	FALSE	FALSE
CASQ1	-0.328716679	4.81714659	2.50E-07	4.74E-05	TRUE	FALSE	FALSE
FAM47E-STBD1	-0.310126395	6.169147598	2.72E-07	5.11E-05	TRUE	FALSE	FALSE
HEY1	-0.298753326	8.044420245	2.77E-07	5.17E-05	TRUE	FALSE	FALSE
UCA1	-0.424392599	4.137022483	2.94E-07	5.42E-05	TRUE	FALSE	FALSE
PPP1R15A	-0.308943854	6.490480699	2.96E-07	5.42E-05	TRUE	FALSE	FALSE
GUCA2A	-0.665990526	2.161004887	3.10E-07	5.62E-05	TRUE	FALSE	FALSE
NFE2L3	-0.305651596	7.788000904	3.27E-07	5.89E-05	TRUE	FALSE	FALSE
RP11-800A3.4	-0.563592787	2.631642121	3.31E-07	5.91E-05	TRUE	FALSE	FALSE
CACNA1S	-0.405149468	4.046370466	3.83E-07	6.79E-05	TRUE	FALSE	FALSE
TKTL1	-0.920415274	0.700122684	4.23E-07	7.40E-05	TRUE	FALSE	FALSE
GDPD2	-0.538654931	3.392508617	4.25E-07	7.40E-05	TRUE	FALSE	FALSE
MYO7A	-0.25043445	6.529669817	4.33E-07	7.40E-05	TRUE	FALSE	FALSE
CDYL2	-0.287384604	6.021969091	4.34E-07	7.40E-05	TRUE	FALSE	FALSE
LIN28A	-0.290713224	6.081314417	4.36E-07	7.40E-05	TRUE	FALSE	FALSE
ABCA4	-0.305080735	5.298502326	4.79E-07	8.03E-05	TRUE	FALSE	FALSE
ITGB4	-0.244149706	9.30065162	4.80E-07	8.03E-05	TRUE	FALSE	FALSE
HAS3	-0.708851176	1.985949101	4.88E-07	8.05E-05	TRUE	FALSE	FALSE
STK24	-0.285600334	7.839413694	4.93E-07	8.05E-05	TRUE	FALSE	FALSE
CAPN5	0.454418777	3.17455576	4.93E-07	8.05E-05	TRUE	FALSE	FALSE
IRX2	-0.283516625	7.395005594	5.08E-07	8.23E-05	TRUE	FALSE	FALSE
SLC1A6	-0.649834608	1.899530178	5.39E-07	8.66E-05	TRUE	FALSE	FALSE
PDE6D	0.531576847	3.478043623	5.61E-07	8.95E-05	TRUE	FALSE	FALSE
KRT24	-0.813788793	1.122542221	6.06E-07	9.60E-05	TRUE	FALSE	FALSE
TRIP6	-0.262207211	6.853874487	6.58E-07	0.000103502	TRUE	FALSE	FALSE
CLDN19	-0.543369076	4.046600153	6.67E-07	0.000104112	TRUE	FALSE	FALSE
KANK4	-0.618050401	3.575636899	7.05E-07	0.000109078	TRUE	FALSE	FALSE
SOCS3	-0.342013582	4.820767225	7.09E-07	0.000109078	TRUE	FALSE	FALSE
ARHGEF33	-0.49542111	3.157065539	7.26E-07	0.000110233	TRUE	FALSE	FALSE
CLU	-0.405334918	5.350584622	7.30E-07	0.000110233	TRUE	FALSE	FALSE
TRANK1	-1.277175869	-0.965617422	7.33E-07	0.000110233	TRUE	TRUE	FALSE
FYTTD1	0.352976625	4.203225855	7.44E-07	0.000111155	TRUE	FALSE	FALSE
MYEOV	-0.453536864	4.596806334	7.64E-07	0.000113332	TRUE	FALSE	FALSE
ALDH2	-0.249913535	7.581805297	8.16E-07	0.000120252	TRUE	FALSE	FALSE
TSPYL2	-0.348476336	5.271453714	8.65E-07	0.000126578	TRUE	FALSE	FALSE
RP5-1065P14.2	-0.31498778	4.550389861	9.10E-07	0.000132211	TRUE	FALSE	FALSE
TRIM29	-0.515973077	4.601385824	9.60E-07	0.00013795	TRUE	FALSE	FALSE
CLIC3	-0.355356618	9.25563922	9.63E-07	0.00013795	TRUE	FALSE	FALSE
OSBPL6	-0.357293598	4.229229068	9.92E-07	0.000141146	TRUE	FALSE	FALSE
SMIM3	-0.246759755	6.59330885	1.01E-06	0.000143281	TRUE	FALSE	FALSE
SALL4	-0.279837168	5.734946556	1.07E-06	0.000150853	TRUE	FALSE	FALSE
SPNS3	-0.417263264	3.117527928	1.10E-06	0.000153008	TRUE	FALSE	FALSE
IQCJ-SCHIP1	-0.305699779	5.028668605	1.11E-06	0.000153151	TRUE	FALSE	FALSE
GRAMD1B	-0.350185944	4.560474526	1.11E-06	0.000153241	TRUE	FALSE	FALSE
SLC12A3	-0.555020329	2.899910117	1.14E-06	0.000155816	TRUE	FALSE	FALSE
MGC39584	-0.490516672	2.297524924	1.15E-06	0.000155816	TRUE	FALSE	FALSE
GABARAPL1	-0.282916355	5.105540712	1.18E-06	0.000159167	TRUE	FALSE	FALSE
BCL2L1	-0.254881049	6.33213785	1.35E-06	0.000181107	TRUE	FALSE	FALSE
AIM1	-0.351097279	4.772587176	1.36E-06	0.000181107	TRUE	FALSE	FALSE
ANXA8L1	-0.38728002	3.759787911	1.51E-06	0.000200571	TRUE	FALSE	FALSE
ANKRD50	0.510551072	2.756944171	1.53E-06	0.000201949	TRUE	FALSE	FALSE
IRF8	-0.407019153	3.669094877	1.55E-06	0.000203079	TRUE	FALSE	FALSE
TGIF2	-0.271224979	6.507658411	1.61E-06	0.000209799	TRUE	FALSE	FALSE
ACTN1	-0.27509538	9.42151634	1.77E-06	0.000229005	TRUE	FALSE	FALSE
SMAD3	-0.283749694	6.471571049	1.78E-06	0.000229005	TRUE	FALSE	FALSE
TUBB3	0.543467617	2.389733362	1.84E-06	0.000234403	TRUE	FALSE	FALSE
NPPB	-0.549076632	4.74669421	1.92E-06	0.000243886	TRUE	FALSE	FALSE
TNFRSF19	-0.423281148	2.899219912	2.06E-06	0.00025972	TRUE	FALSE	FALSE
AC079776.3	-0.860262647	-0.028677457	2.07E-06	0.00025972	TRUE	FALSE	FALSE
SLC22A11	-0.821455229	0.781224568	2.08E-06	0.00025974	TRUE	FALSE	FALSE
EDEM2	-0.276634143	6.302854121	2.14E-06	0.000264948	TRUE	FALSE	FALSE
DHRS3	-0.416720824	4.417713414	2.23E-06	0.000274692	TRUE	FALSE	FALSE
A2ML1	-0.309722667	5.05206795	2.28E-06	0.000279696	TRUE	FALSE	FALSE
GGTLC5P	-1.006816269	-0.039538576	2.34E-06	0.000284661	TRUE	FALSE	FALSE
SCARA3	-0.27767121	5.558287322	2.39E-06	0.00028921	TRUE	FALSE	FALSE
RGL1	-0.258515873	4.986187375	2.45E-06	0.000294369	TRUE	FALSE	FALSE
STK17A	0.462347903	2.550957092	2.63E-06	0.000315165	TRUE	FALSE	FALSE
TRIB1	-0.2492493	6.092413678	2.65E-06	0.000315636	TRUE	FALSE	FALSE
FAM227B	1.238441036	-0.587423277	2.80E-06	0.000330923	TRUE	TRUE	FALSE
RP11-162P23.2	-0.245383812	6.375309548	2.87E-06	0.000338249	TRUE	FALSE	FALSE
TJP2	-0.234148443	6.950323379	2.90E-06	0.000339334	TRUE	FALSE	FALSE
CLEC1A	-0.388406327	5.338604274	2.93E-06	0.000340511	TRUE	FALSE	FALSE
ARHGEF10	-0.848332997	2.101318999	3.14E-06	0.00036369	TRUE	FALSE	FALSE
PLEKHG3	-0.224995722	6.562615177	3.21E-06	0.00036951	TRUE	FALSE	FALSE
RP11-439C15.6	-0.846981412	2.091964183	3.23E-06	0.00036951	TRUE	FALSE	FALSE
C1orf198	-0.22896794	7.249897553	3.25E-06	0.00036951	TRUE	FALSE	FALSE
NAV2	-0.294410086	8.119285779	3.45E-06	0.000390423	TRUE	FALSE	FALSE
APBB1IP	-0.320921388	6.136854812	3.66E-06	0.000412347	TRUE	FALSE	FALSE
TBC1D2	-0.246142941	5.740654434	3.68E-06	0.000412347	TRUE	FALSE	FALSE
PPME1	-0.222811586	6.987860761	3.84E-06	0.000428301	TRUE	FALSE	FALSE
PKD2	0.451955382	3.051610674	4.02E-06	0.000445794	TRUE	FALSE	FALSE
EFR3A	0.356207022	5.051133386	4.06E-06	0.000446091	TRUE	FALSE	FALSE
ZNF45	0.432759979	3.019232376	4.08E-06	0.000446091	TRUE	FALSE	FALSE
TNFAIP2	-0.273300378	7.737863392	4.09E-06	0.000446091	TRUE	FALSE	FALSE
CSRNP1	-0.258147671	5.494823651	4.16E-06	0.000451772	TRUE	FALSE	FALSE
HSPD1P6	-0.541265761	2.178065127	4.44E-06	0.000479785	TRUE	FALSE	FALSE
DNAJC6	-0.279321205	5.601444934	4.59E-06	0.000489081	TRUE	FALSE	FALSE
TMBIM1	-0.245780366	8.633753513	4.64E-06	0.000489081	TRUE	FALSE	FALSE
SH3BP4	-0.267912105	7.286909974	4.64E-06	0.000489081	TRUE	FALSE	FALSE
CDK14	-0.247922669	5.336990279	4.64E-06	0.000489081	TRUE	FALSE	FALSE
DGKD	-0.293293083	5.822709617	4.64E-06	0.000489081	TRUE	FALSE	FALSE
NLRP9	-0.598728119	3.287336336	5.37E-06	0.000562355	TRUE	FALSE	FALSE
RP11-525K10.3	-0.670637975	1.211361237	5.66E-06	0.000589959	TRUE	FALSE	FALSE
LA16c-431H6.6	-0.262793988	5.699270764	5.81E-06	0.000602634	TRUE	FALSE	FALSE
MTHFD1L	-0.269463252	6.693233559	5.92E-06	0.000611295	TRUE	FALSE	FALSE
MAP2K6	0.359346458	4.359801284	6.23E-06	0.000640312	TRUE	FALSE	FALSE
LY6K	-1.237297005	-0.704108101	6.28E-06	0.000642429	TRUE	TRUE	FALSE
CCNYL1	0.261848774	5.10556899	6.35E-06	0.000643149	TRUE	FALSE	FALSE
RP11-566K11.2	0.420963149	3.156168515	6.38E-06	0.000643149	TRUE	FALSE	FALSE
IPPK	-0.28056471	4.720690602	6.39E-06	0.000643149	TRUE	FALSE	FALSE
LRIG1	0.445321847	2.548433343	6.41E-06	0.000643149	TRUE	FALSE	FALSE
EPS8L1	-0.275581918	5.908579924	6.46E-06	0.000644886	TRUE	FALSE	FALSE
ST3GAL1	-0.260614159	6.156961185	6.51E-06	0.000647354	TRUE	FALSE	FALSE
ARHGAP10	-0.235863412	6.562540776	6.58E-06	0.000650855	TRUE	FALSE	FALSE
CCPG1	0.394672601	4.666390573	6.66E-06	0.000655342	TRUE	FALSE	FALSE
TPST2	-0.312361731	4.608920075	6.85E-06	0.000671396	TRUE	FALSE	FALSE
BCAR3	-0.228675735	6.694355336	7.26E-06	0.000707947	TRUE	FALSE	FALSE
USP43	-0.302307588	4.377636441	7.42E-06	0.000719837	TRUE	FALSE	FALSE
BLCAP	-0.264926632	6.984011609	7.68E-06	0.000742403	TRUE	FALSE	FALSE
PIM3	-0.242772319	6.439155743	8.33E-06	0.00080082	TRUE	FALSE	FALSE
SLC3A2	-0.255790494	8.060460328	8.45E-06	0.000809375	TRUE	FALSE	FALSE
DENND1A	-0.234504246	7.480080993	8.55E-06	0.000815274	TRUE	FALSE	FALSE
SEMA6D	-0.568588678	2.099895281	8.62E-06	0.000817839	TRUE	FALSE	FALSE
AVPI1	-0.309468757	4.579112337	8.91E-06	0.000841517	TRUE	FALSE	FALSE
SKIDA1	-0.247487795	5.469237714	9.03E-06	0.000848767	TRUE	FALSE	FALSE
APBA2	2.426225496	-1.826464511	9.07E-06	0.000848767	TRUE	TRUE	TRUE
CCDC80	-0.385214326	3.509244589	9.11E-06	0.000848962	TRUE	FALSE	FALSE
EDN2	-0.678238982	1.283943089	9.17E-06	0.000850954	TRUE	FALSE	FALSE
ARHGEF34P	-0.292309772	5.027815682	9.27E-06	0.000856568	TRUE	FALSE	FALSE
CPD	0.298167867	5.554750811	9.35E-06	0.00086052	TRUE	FALSE	FALSE
NDST1	-0.255375058	7.099115105	9.42E-06	0.000863161	TRUE	FALSE	FALSE
ADGRE2	-0.312093325	5.5582987	9.61E-06	0.000872622	TRUE	FALSE	FALSE
PXDC1	-0.271093659	5.839950482	9.62E-06	0.000872622	TRUE	FALSE	FALSE
SLAIN1	0.943541661	0.268373846	9.65E-06	0.000872622	TRUE	FALSE	FALSE
HES1	-0.52685574	1.844164012	9.82E-06	0.000884234	TRUE	FALSE	FALSE
RP11-244N20.7	12.67265115	1.192972427	1.04E-05	0.000934465	TRUE	TRUE	TRUE
KLHL3	0.57022317	2.296018003	1.06E-05	0.000950607	TRUE	FALSE	FALSE
CITED2	-0.272822619	8.227464896	1.10E-05	0.000980662	TRUE	FALSE	FALSE
PLEKHM1P1	-0.418508525	3.207222365	1.14E-05	0.001004775	TRUE	FALSE	FALSE
SLCO2B1	-0.78942574	0.668507977	1.19E-05	0.001047252	TRUE	FALSE	FALSE
DDB1	-0.243626903	10.46674955	1.28E-05	0.001123122	TRUE	FALSE	FALSE
B4GALT5	-0.224306777	7.831775427	1.29E-05	0.001127582	TRUE	FALSE	FALSE
GAS7	-0.385207653	2.955056469	1.30E-05	0.001127635	TRUE	FALSE	FALSE
FLOT2	-0.23681515	7.969843225	1.32E-05	0.001143125	TRUE	FALSE	FALSE
APOL1	-0.321809742	4.335860387	1.32E-05	0.001143361	TRUE	FALSE	FALSE
ADM	-0.399336621	6.854684703	1.37E-05	0.001178572	TRUE	FALSE	FALSE
NQO1	0.406484342	3.188092014	1.41E-05	0.001210449	TRUE	FALSE	FALSE
ANXA6	-0.235745396	7.610308113	1.44E-05	0.001224056	TRUE	FALSE	FALSE
STXBP1	0.281710734	5.352443198	1.48E-05	0.001259462	TRUE	FALSE	FALSE
FXYD3	-0.283559089	4.649065987	1.52E-05	0.001283268	TRUE	FALSE	FALSE
ZC2HC1A	0.644811847	1.764914706	1.52E-05	0.001283268	TRUE	FALSE	FALSE
ZNF493	0.43646567	2.754297266	1.60E-05	0.001338919	TRUE	FALSE	FALSE
SHROOM1	0.415306254	2.954828251	1.61E-05	0.001347788	TRUE	FALSE	FALSE
GYG2	-0.218796078	6.766240233	1.62E-05	0.001347788	TRUE	FALSE	FALSE
TMPRSS4	-0.440502951	2.397921774	1.63E-05	0.001347788	TRUE	FALSE	FALSE
TNNT3	-0.342759895	4.308008231	1.63E-05	0.0013478	TRUE	FALSE	FALSE
ACKR2	-0.244195768	7.10592774	1.67E-05	0.001377794	TRUE	FALSE	FALSE
PICALM	-0.234663625	8.642671351	1.75E-05	0.001434893	TRUE	FALSE	FALSE
BTBD16	-0.337639646	4.299248334	1.76E-05	0.00144091	TRUE	FALSE	FALSE
FAM234A	0.221435688	6.625378332	1.84E-05	0.001498096	TRUE	FALSE	FALSE
PLAC8	-0.254175543	7.495853348	1.87E-05	0.001516511	TRUE	FALSE	FALSE
TRIP10	-0.225846632	6.717267473	1.88E-05	0.001517502	TRUE	FALSE	FALSE
TEKT5	-0.423026108	2.511506101	1.89E-05	0.001518249	TRUE	FALSE	FALSE
UBASH3B	-0.246565162	6.670420506	1.90E-05	0.001518249	TRUE	FALSE	FALSE
PHLPP2	0.631399217	1.858111135	1.96E-05	0.00156292	TRUE	FALSE	FALSE
ANKS1B	1.079659536	-0.690241289	2.01E-05	0.001594424	TRUE	FALSE	FALSE
GLI3	-0.289136227	5.1215978	2.11E-05	0.001667392	TRUE	FALSE	FALSE
ITIH5	-0.314492059	3.840162909	2.13E-05	0.001679033	TRUE	FALSE	FALSE
SERPINB6	-0.273246103	5.884693735	2.15E-05	0.001688536	TRUE	FALSE	FALSE
IRF2BP2	-0.234046727	7.791226666	2.24E-05	0.001750363	TRUE	FALSE	FALSE
PLEKHG1	-0.267692792	5.736826252	2.25E-05	0.001759369	TRUE	FALSE	FALSE
PTGIS	-0.523377831	1.657194326	2.28E-05	0.0017739	TRUE	FALSE	FALSE
ITGA6	-0.211568556	8.507529187	2.30E-05	0.001783062	TRUE	FALSE	FALSE
SRRM4	-2.915960415	-3.762469906	2.34E-05	0.001803266	TRUE	TRUE	TRUE
S1PR2	-0.250079222	5.563312395	2.36E-05	0.00181071	TRUE	FALSE	FALSE
TMOD1	-0.360647055	4.267573945	2.38E-05	0.001823823	TRUE	FALSE	FALSE
CCDC141	-0.412935745	4.389402757	2.46E-05	0.001880554	TRUE	FALSE	FALSE
PHC1	-0.21874916	8.524560075	2.50E-05	0.001902391	TRUE	FALSE	FALSE
ZNF90	2.603118505	0.356578217	2.52E-05	0.001910301	TRUE	TRUE	TRUE
CTC-260E6.2	2.600801675	0.355697365	2.56E-05	0.001934347	TRUE	TRUE	TRUE
ANKRD2	-1.062386177	0.050093981	2.58E-05	0.001936999	TRUE	FALSE	FALSE
LDLRAD3	-0.248302954	6.779461734	2.59E-05	0.001936999	TRUE	FALSE	FALSE
ARL6IP5	-0.200394755	6.851860488	2.59E-05	0.001936999	TRUE	FALSE	FALSE
RP11-110G21.1	0.527301722	2.206917276	2.64E-05	0.001959978	TRUE	FALSE	FALSE
FAM110A	-0.271609851	4.828151988	2.66E-05	0.001959978	TRUE	FALSE	FALSE
PLEKHG6	-0.21087506	7.648900414	2.66E-05	0.001959978	TRUE	FALSE	FALSE
CARMIL2	-0.301615697	4.348383447	2.67E-05	0.001959978	TRUE	FALSE	FALSE
LIMA1	-0.229873858	7.04209092	2.68E-05	0.001959978	TRUE	FALSE	FALSE
BHLHE41	-0.280277922	5.552283767	2.69E-05	0.001959978	TRUE	FALSE	FALSE
FRMD4A	-0.265792911	5.847280957	2.70E-05	0.001959978	TRUE	FALSE	FALSE
HDGF	-0.231212376	9.298979977	2.70E-05	0.001959978	TRUE	FALSE	FALSE
TRAK1	-0.206795354	7.592191957	2.75E-05	0.001988775	TRUE	FALSE	FALSE
