Symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Pval_threshold	FC1.2_threshold	FC1.5_threshold
PLEKHG6	18181.0333	-0.689895477	0.047418321	-14.54913323	5.91E-48	7.88E-46	TRUE	FALSE	FALSE
SS18L2	1117.977371	0.405778217	0.084656643	4.793223561	1.64E-06	9.21E-06	TRUE	FALSE	FALSE
MPND	1843.873211	0.256643979	0.071057487	3.611779574	0.000304103	0.001154062	TRUE	FALSE	FALSE
ST3GAL1	6463.970963	-0.993825413	0.057938727	-17.1530418	5.96E-66	2.03E-63	TRUE	FALSE	FALSE
PKD1	8170.392357	-0.189462226	0.048016866	-3.945743242	7.96E-05	0.000337843	TRUE	FALSE	FALSE
MAPK8IP2	329.4713454	-0.439540642	0.114538347	-3.837497681	0.000124294	0.000509685	TRUE	FALSE	FALSE
MED24	9811.711913	-0.203405291	0.043562488	-4.669276241	3.02E-06	1.64E-05	TRUE	FALSE	FALSE
RHOBTB2	2436.934094	0.144026762	0.057495796	2.504996383	0.012245265	0.031627521	TRUE	FALSE	FALSE
HEATR5B	6713.265424	-0.307301044	0.053081105	-5.789273661	7.07E-09	5.64E-08	TRUE	FALSE	FALSE
CSDE1	74461.08486	-0.232551421	0.04186806	-5.554387271	2.79E-08	2.04E-07	TRUE	FALSE	FALSE
UBE3C	8738.074438	-0.174764271	0.053696477	-3.254669213	0.001135245	0.003799565	TRUE	FALSE	FALSE
REV3L	2187.281085	0.207491212	0.080634179	2.573241448	0.010075089	0.026685301	TRUE	FALSE	FALSE
VTA1	3006.950174	0.217086302	0.07276398	2.983430824	0.002850365	0.008720575	TRUE	FALSE	FALSE
BAZ1B	8277.906819	-0.179536048	0.062259315	-2.883681727	0.003930558	0.011630707	TRUE	FALSE	FALSE
SPRTN	1078.360624	0.253867177	0.076593186	3.314487757	0.000918112	0.003129514	TRUE	FALSE	FALSE
UQCRC1	23724.0862	-0.174895918	0.041959747	-4.168183367	3.07E-05	0.000141064	TRUE	FALSE	FALSE
CD9	21216.09165	-0.291638191	0.051533766	-5.659167052	1.52E-08	1.15E-07	TRUE	FALSE	FALSE
NCAPD2	58658.23097	-0.198835046	0.055400911	-3.58902125	0.000331922	0.001250368	TRUE	FALSE	FALSE
PHF7	592.8735697	0.62526225	0.093472448	6.689267947	2.24E-11	2.47E-10	TRUE	FALSE	FALSE
NISCH	8770.936203	0.168664198	0.042556769	3.963275473	7.39E-05	0.0003158	TRUE	FALSE	FALSE
FUZ	1660.952537	-0.239020918	0.064192936	-3.72347695	0.000196498	0.000773838	TRUE	FALSE	FALSE
IDS	3494.393313	0.573687246	0.064222403	8.932821231	4.15E-19	9.75E-18	TRUE	FALSE	FALSE
FYN	42.53241005	2.053490943	0.331453864	6.195405046	5.81E-10	5.38E-09	TRUE	TRUE	TRUE
HIVEP2	1137.572431	-0.393010512	0.078121532	-5.030757836	4.89E-07	2.98E-06	TRUE	FALSE	FALSE
LYPLA2	5764.787314	0.154205934	0.06072548	2.539394265	0.011104461	0.029075365	TRUE	FALSE	FALSE
CLCN6	1590.239688	-0.275102712	0.0621501	-4.426424274	9.58E-06	4.83E-05	TRUE	FALSE	FALSE
MRC2	500.2603941	0.891394145	0.097896303	9.105493474	8.59E-20	2.14E-18	TRUE	FALSE	FALSE
NME1-NME2	53542.70629	-0.166089471	0.055705183	-2.981580195	0.002867649	0.008768191	TRUE	FALSE	FALSE
MKS1	3698.275724	-0.230311741	0.053161093	-4.332336438	1.48E-05	7.17E-05	TRUE	FALSE	FALSE
ABHD5	1369.436078	0.205894007	0.071431635	2.882392462	0.003946678	0.011673322	TRUE	FALSE	FALSE
AKAP8L	7967.017383	-0.312205359	0.053088364	-5.88086235	4.08E-09	3.34E-08	TRUE	FALSE	FALSE
MBTD1	5931.746761	-0.186361817	0.056318601	-3.309063312	0.000936087	0.003186385	TRUE	FALSE	FALSE
UTP18	5534.295121	-0.253471157	0.057604465	-4.400199801	1.08E-05	5.40E-05	TRUE	FALSE	FALSE
TTC19	1604.743299	0.565532633	0.061076172	9.259464303	2.05E-20	5.40E-19	TRUE	FALSE	FALSE
PTBP1	76748.75392	-0.15700674	0.052202612	-3.007641428	0.002632836	0.0081209	TRUE	FALSE	FALSE
DPF1	285.8136029	0.361195429	0.13167666	2.743048221	0.006087175	0.017162345	TRUE	FALSE	FALSE
PIK3C2A	6493.200633	-0.2520998	0.069659791	-3.619014583	0.000295727	0.001125884	TRUE	FALSE	FALSE
ANLN	12102.55379	-0.287886367	0.066597662	-4.322769896	1.54E-05	7.45E-05	TRUE	FALSE	FALSE
WIZ	5134.317256	-0.29920382	0.053049675	-5.640068827	1.70E-08	1.28E-07	TRUE	FALSE	FALSE
RABGAP1	6223.686659	-0.27462319	0.053014516	-5.180150839	2.22E-07	1.43E-06	TRUE	FALSE	FALSE
PPP5C	6187.021059	-0.279056009	0.063038755	-4.426737331	9.57E-06	4.83E-05	TRUE	FALSE	FALSE
GABRA3	621.157362	-0.249458447	0.08974437	-2.779655684	0.005441656	0.015496742	TRUE	FALSE	FALSE
CD22	84.37611826	-1.358265808	0.235198576	-5.774974622	7.70E-09	6.11E-08	TRUE	TRUE	FALSE
SEMA3B	58.09169044	1.28127154	0.28769471	4.45358047	8.45E-06	4.30E-05	TRUE	TRUE	FALSE
MBTPS2	1756.503507	0.190558039	0.064782763	2.941492912	0.003266343	0.009858541	TRUE	FALSE	FALSE
PRICKLE3	2247.189829	-0.187899675	0.061530208	-3.053779283	0.002259783	0.007071929	TRUE	FALSE	FALSE
EXTL3	4339.568726	0.29379046	0.059055107	4.974852714	6.53E-07	3.92E-06	TRUE	FALSE	FALSE
ELOVL5	9028.928243	0.301257537	0.047701225	6.315509499	2.69E-10	2.63E-09	TRUE	FALSE	FALSE
MAP4K5	4241.249351	-0.252139397	0.061296655	-4.113428325	3.90E-05	0.000175461	TRUE	FALSE	FALSE
PSMC4	6541.195869	-0.384051677	0.047286299	-8.121838397	4.59E-16	8.24E-15	TRUE	FALSE	FALSE
MAN2B2	3081.682806	0.391827297	0.059808394	6.551376312	5.70E-11	5.98E-10	TRUE	FALSE	FALSE
SLC25A39	10814.34867	0.147610486	0.056444934	2.615123732	0.008919514	0.023998945	TRUE	FALSE	FALSE
MVP	468.8000098	0.395999331	0.109205436	3.626186978	0.000287637	0.001098163	TRUE	FALSE	FALSE
PGM3	4558.667702	-0.205909979	0.080206304	-2.56725429	0.010250741	0.027083648	TRUE	FALSE	FALSE
POLR3B	2949.353918	-0.327108647	0.060728443	-5.386415819	7.19E-08	4.97E-07	TRUE	FALSE	FALSE
ANGEL1	3243.221551	0.185821254	0.053945651	3.444601178	0.000571903	0.002032751	TRUE	FALSE	FALSE
RNF14	2163.038939	0.245123797	0.070547266	3.474603767	0.000511608	0.001840815	TRUE	FALSE	FALSE
GPRC5A	1730.801002	-1.41702151	0.145654436	-9.728653277	2.28E-22	7.09E-21	TRUE	TRUE	FALSE
TACC3	4214.898715	0.339917529	0.050320559	6.755042807	1.43E-11	1.61E-10	TRUE	FALSE	FALSE
POLA2	2706.463818	-0.190013901	0.067748954	-2.804676512	0.00503671	0.014472995	TRUE	FALSE	FALSE
CAPN1	30342.55479	-0.26198478	0.049102759	-5.335439094	9.53E-08	6.48E-07	TRUE	FALSE	FALSE
SLC30A9	3413.391174	0.20355488	0.064974647	3.13283548	0.001731265	0.005553565	TRUE	FALSE	FALSE
MTMR11	1807.771651	-0.864389647	0.085375916	-10.12451384	4.30E-24	1.56E-22	TRUE	FALSE	FALSE
COX15	3992.184531	-0.119256607	0.051136787	-2.332109911	0.01969491	0.047762852	TRUE	FALSE	FALSE
YAF2	502.1726772	0.229485198	0.095489959	2.403239045	0.016250561	0.040464552	TRUE	FALSE	FALSE
ZMYND11	5120.587593	-0.357499922	0.068068793	-5.252038513	1.50E-07	9.90E-07	TRUE	FALSE	FALSE
DPEP1	9381.005989	-1.191509999	0.064145935	-18.5749885	5.12E-77	2.55E-74	TRUE	FALSE	FALSE
MATR3	30218.20235	0.170290964	0.070690487	2.408965766	0.015997799	0.039932763	TRUE	FALSE	FALSE
NPC1L1	65.70306636	-1.834548426	0.270634829	-6.778685626	1.21E-11	1.38E-10	TRUE	TRUE	TRUE
XYLT2	3963.283691	0.314025654	0.063022228	4.982776101	6.27E-07	3.77E-06	TRUE	FALSE	FALSE
GLT8D1	4066.974536	0.32249073	0.065296972	4.938831327	7.86E-07	4.65E-06	TRUE	FALSE	FALSE
RALBP1	23871.00507	-0.577773819	0.054438554	-10.6133204	2.58E-26	1.08E-24	TRUE	FALSE	FALSE
SLC11A1	234.9968465	-0.611584848	0.154507814	-3.958277779	7.55E-05	0.00032194	TRUE	FALSE	FALSE
WWTR1	8814.090468	-0.246689645	0.052767874	-4.674996844	2.94E-06	1.60E-05	TRUE	FALSE	FALSE
ATP1A2	21.44152178	-2.103879122	0.497823348	-4.226155986	2.38E-05	0.000111427	TRUE	TRUE	TRUE
PRDM11	144.9773908	0.429530595	0.166844384	2.574438437	0.010040295	0.026610439	TRUE	FALSE	FALSE
CD74	11.05840067	2.007380936	0.639456345	3.139199342	0.001694102	0.005448937	TRUE	TRUE	TRUE
NCDN	1507.750244	0.28058157	0.071396693	3.929895867	8.50E-05	0.000359127	TRUE	FALSE	FALSE
ADGRA2	331.7530066	-0.480908504	0.147924127	-3.251048451	0.001149803	0.003838201	TRUE	FALSE	FALSE
SAMD4A	4319.510792	-0.433551866	0.063379935	-6.840522442	7.89E-12	9.19E-11	TRUE	FALSE	FALSE
SERPINB1	8079.172135	-0.306119416	0.058007544	-5.277234552	1.31E-07	8.70E-07	TRUE	FALSE	FALSE
SLC7A9	2480.960812	-0.29354924	0.067868264	-4.32527993	1.52E-05	7.38E-05	TRUE	FALSE	FALSE
SPAST	1861.235609	0.181322853	0.062676352	2.893002668	0.003815781	0.011332218	TRUE	FALSE	FALSE
RNF10	12612.27663	-0.112960561	0.044912244	-2.515139558	0.011898527	0.03085712	TRUE	FALSE	FALSE
ZDHHC6	2621.008626	-0.181493898	0.071172083	-2.550071462	0.010770084	0.028290735	TRUE	FALSE	FALSE
GRAMD1B	2137.303477	-1.06170074	0.072028584	-14.73999187	3.57E-49	4.95E-47	TRUE	FALSE	FALSE
ALAS1	4890.091478	-0.150360558	0.054900639	-2.738776097	0.006166836	0.017377326	TRUE	FALSE	FALSE
AKAP11	2223.942237	0.230731425	0.069942547	3.298870791	0.000970746	0.003293359	TRUE	FALSE	FALSE
GLRX2	527.9660992	0.36162798	0.10696694	3.380745296	0.000722895	0.002517469	TRUE	FALSE	FALSE
SNAPC1	1505.027932	-0.240706863	0.0856393	-2.810705616	0.004943299	0.014242741	TRUE	FALSE	FALSE
DERA	3051.961837	0.246938332	0.057083329	4.325927345	1.52E-05	7.36E-05	TRUE	FALSE	FALSE
ABCC2	76.68391187	-1.210514634	0.252632064	-4.791611223	1.65E-06	9.28E-06	TRUE	TRUE	FALSE
DEF6	3402.197434	-0.185766121	0.052415631	-3.544097781	0.000393959	0.00145845	TRUE	FALSE	FALSE
GCLM	1021.293672	0.282288158	0.076494529	3.690305201	0.000223985	0.000873645	TRUE	FALSE	FALSE
PHF20	10106.91403	-0.320306292	0.050411454	-6.353839611	2.10E-10	2.08E-09	TRUE	FALSE	FALSE
NR1H3	2447.351037	0.390303181	0.060524758	6.448653299	1.13E-10	1.15E-09	TRUE	FALSE	FALSE
TYMP	121.7662245	-0.519101643	0.200623337	-2.587443968	0.009669092	0.025773694	TRUE	FALSE	FALSE
NCAPH2	4342.254122	-0.31338188	0.048610336	-6.446815708	1.14E-10	1.16E-09	TRUE	FALSE	FALSE
TOMM34	8546.270114	-0.52611524	0.055513783	-9.477200346	2.61E-21	7.46E-20	TRUE	FALSE	FALSE
SEC63	8274.614302	-0.196442357	0.048653515	-4.037577869	5.40E-05	0.000236396	TRUE	FALSE	FALSE
VIM	19.18604176	1.450463088	0.466552954	3.108892732	0.001877899	0.005972228	TRUE	TRUE	FALSE
RTEL1-TNFRSF6B	3536.220567	-0.384287685	0.065138656	-5.899533489	3.65E-09	3.02E-08	TRUE	FALSE	FALSE
RNASET2	817.2676349	0.293662353	0.081577081	3.599814443	0.000318444	0.001204373	TRUE	FALSE	FALSE
BTN3A1	93.77589206	1.416993225	0.214931712	6.592760145	4.32E-11	4.61E-10	TRUE	TRUE	FALSE
PRKCH	13951.63123	-0.20327675	0.040193952	-5.057396439	4.25E-07	2.62E-06	TRUE	FALSE	FALSE
IFNGR1	1205.697529	0.19166739	0.081311643	2.357194895	0.01841358	0.045079311	TRUE	FALSE	FALSE
SNX1	4421.908762	0.169901145	0.05328705	3.188413446	0.001430558	0.004675819	TRUE	FALSE	FALSE
TBPL1	1223.893042	0.185378369	0.071721792	2.584686795	0.009746749	0.025953968	TRUE	FALSE	FALSE
ARNTL2	1488.550191	0.455002746	0.06533844	6.963783451	3.31E-12	4.04E-11	TRUE	FALSE	FALSE
BCLAF1	9263.683276	-0.206241314	0.064509472	-3.197070253	0.001388311	0.00455307	TRUE	FALSE	FALSE
RABEP1	2918.839933	0.233218228	0.063150075	3.693079219	0.000221555	0.000864663	TRUE	FALSE	FALSE
HMGB3	17540.59154	-0.690126725	0.051270911	-13.46039534	2.67E-41	2.55E-39	TRUE	FALSE	FALSE
NUP160	12341.64033	-0.411639554	0.055104509	-7.470161002	8.01E-14	1.15E-12	TRUE	FALSE	FALSE
IKZF2	464.6345716	-0.694515388	0.12298905	-5.64696928	1.63E-08	1.23E-07	TRUE	FALSE	FALSE
FAM13B	3385.945994	-0.26232613	0.061320775	-4.277932392	1.89E-05	8.98E-05	TRUE	FALSE	FALSE
ARHGAP31	1135.408997	-0.219012218	0.080508397	-2.720364893	0.006520991	0.018276863	TRUE	FALSE	FALSE
SARS	32236.24889	-0.632859803	0.056658534	-11.16971718	5.74E-29	2.81E-27	TRUE	FALSE	FALSE
RANBP3	4178.769525	-0.446532201	0.055469419	-8.050060915	8.28E-16	1.44E-14	TRUE	FALSE	FALSE
TSSC1	4441.830526	-0.282290702	0.046264841	-6.101624851	1.05E-09	9.46E-09	TRUE	FALSE	FALSE
PNPLA6	8112.917858	-0.178923138	0.053876644	-3.320977793	0.000897027	0.003063664	TRUE	FALSE	FALSE
ZCCHC8	3783.469111	-0.2261464	0.059505641	-3.800419542	0.000144451	0.000584576	TRUE	FALSE	FALSE
ABCF2	3922.569641	-0.186391382	0.059536537	-3.130705794	0.001743868	0.005589594	TRUE	FALSE	FALSE
GAB2	16592.65493	-0.961629138	0.046833919	-20.53274991	1.10E-93	8.95E-91	TRUE	FALSE	FALSE
ATP6V0A1	5264.690335	-0.347299324	0.055943573	-6.208028953	5.37E-10	5.00E-09	TRUE	FALSE	FALSE
PIAS1	4308.108489	-0.473729088	0.061576647	-7.693323893	1.43E-14	2.22E-13	TRUE	FALSE	FALSE
MAP2K3	3099.531611	0.246552858	0.054027629	4.563458776	5.03E-06	2.64E-05	TRUE	FALSE	FALSE
RNF19A	3246.121829	-0.427931734	0.070472004	-6.072365088	1.26E-09	1.12E-08	TRUE	FALSE	FALSE
SH3YL1	2571.890166	0.176561584	0.058281803	3.029446146	0.002450026	0.0076077	TRUE	FALSE	FALSE
VCL	17195.06373	-0.240210678	0.063927314	-3.757559392	0.000171579	0.000682296	TRUE	FALSE	FALSE
DEPDC1B	3387.746772	0.415379671	0.063168553	6.575735084	4.84E-11	5.14E-10	TRUE	FALSE	FALSE
NSMAF	3023.159488	0.192504386	0.055581989	3.463431032	0.000533333	0.001909852	TRUE	FALSE	FALSE
TIMP2	21424.48214	-0.214288101	0.045788689	-4.679935305	2.87E-06	1.56E-05	TRUE	FALSE	FALSE
RFC1	3008.911066	-0.317596037	0.065292679	-4.864190627	1.15E-06	6.62E-06	TRUE	FALSE	FALSE
CUL3	7820.419301	-0.222788293	0.052239483	-4.264749167	2.00E-05	9.49E-05	TRUE	FALSE	FALSE
CYP46A1	128.9568218	-0.417006329	0.177199865	-2.353310638	0.018607082	0.045454731	TRUE	FALSE	FALSE
FLT4	21496.76791	-0.79113702	0.050138773	-15.77894645	4.34E-56	8.43E-54	TRUE	FALSE	FALSE
NSUN2	9163.992699	-0.225990111	0.045126945	-5.007875283	5.50E-07	3.34E-06	TRUE	FALSE	FALSE
FBXO42	2919.440143	-0.460864488	0.061316259	-7.516187285	5.64E-14	8.27E-13	TRUE	FALSE	FALSE
MFAP3	5378.271436	0.231734289	0.053736141	4.312447512	1.61E-05	7.78E-05	TRUE	FALSE	FALSE
METTL1	1375.445905	-0.461091068	0.076616005	-6.018208142	1.76E-09	1.53E-08	TRUE	FALSE	FALSE
HOXC8	61.80975641	1.493360194	0.284541867	5.248296891	1.54E-07	1.01E-06	TRUE	TRUE	FALSE
